name,batch,one_liner,website,slug,industries,tags,team_size,all_locations,status,stage,agent_type,ai_vertical,ai_tech_strength,ai_confidence,ai_reasoning,long_description
Char,Summer 2025,The AI notepad that knows and works for you,https://char.com,char,B2B; Productivity,SaaS; Productivity; Open Source; AI; AI Assistant,4,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Productivity,Vertical Agent Product,0.9,"Char is an AI notepad that autonomously completes tasks like researching and scheduling, functioning as a single-purpose AI agent for productivity.","Char is a daily notepad that finishes your todos for you. Type a checkbox, and an agent picks it up — researching, drafting, or scheduling on your behalf. Stay in command. Char does the work."
Closera,Summer 2025,AI Shopping Agent for Your Ecommerce Store,https://closera.com,closera,B2B,Artificial Intelligence; Generative AI; B2B,2,"New York City, NY, USA",Active,Early,Single-Purpose Agent,E-commerce,Vertical Agent Product,0.85,"Closera is described as an AI shopping agent for ecommerce stores, indicating a single-purpose autonomous agent product.",
Comena,Summer 2025,AI agents for distributors and manufacturers to automate order entry.,https://comena.ai,comena,B2B; Supply Chain and Logistics,,2,,Active,Early,Single-Purpose Agent,Supply Chain and Logistics,Vertical Agent Product,0.95,"Comena builds AI agents that automate order processing for distributors and manufacturers, a clear single-purpose AI agent use case.","We build AI agents that automate order processing for industrial distributors and manufacturers. Say goodbye to inside sales and customer service teams spending hours on manual data entry. Comena streamlines order and quote entry, from inbox to ERP, freeing up sales teams to focus on high-value activities and proactive selling."
ContextFort,Summer 2025,Visibility and Controls for Browser Agents,https://contextfort.ai/,contextfort,B2B; Security,Cybersecurity; AI,2,"San Francisco, CA, USA",Active,Early,CaaS Platform,Security,Agent Evaluation & Monitoring,0.9,"ContextFort provides visibility and controls for AI browser agents, focusing on monitoring and security controls for agents, thus enabling agent safety and evaluation.","ContextFort gives security teams visibility and controls for AI browser agents.
It’s a Chrome extension that:
Detects when an AI agent takes control of the browser
Records every action during the session (pages visited, clicks, text entry) 
Provides controls to prevent risky actions and cross-site data leakage"
Convexia,Summer 2025,The world's first AI-maximalist pharma company,https://convexia.bio,convexia,Healthcare; Drug Discovery and Delivery,AI-powered Drug Discovery; Biotech; Drug Delivery,4,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Healthcare,Vertical Agent Product,0.95,"Convexia uses multiple specialized AI agents for drug discovery, clinical trials, and commercial analysis, representing a suite of vertical AI agents in healthcare.","An AI-maximalist pharma platform. We use agents to buy drugs, run clinical trials, and sell for a profit. 10x faster and 20x leaner than incumbents.

Sourcing Agent: Mines public/private databases and unstructured global data to surface overlooked preclinical candidates.
Scientific Agent: Runs comp bio models (ESM-3, RFdiffusion, Boltz-2, AlphaFold) to assess safety and efficacy in silico.
Commercial Agent: Analyzes FDA incentives, pricing dynamics, TAM, competitive landscape, and payer alignment.
Clinical Agent: Runs digital twin simulations, evaluates CRO/CMC risk, and builds trial plans to Phase 1.
PoS Agent: Evaluates the most critical factors that impact the likelihood of clinical trial success. 

Built by 2 Stanford CS students who have built 3 startups together before. "
Cyberdesk,Summer 2025,Self learning computer use agent for developers,https://www.cyberdesk.io,cyberdesk,"B2B; Engineering, Product and Design",Artificial Intelligence; Developer Tools; Robotic Process Automation; Workflow Automation; Enterprise Software,2,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Engineering & Dev Tools,Vertical Agent Product,0.95,"Cyberdesk builds self-learning computer use agents that automate desktop workflows, a clear example of single-purpose autonomous AI agents for developers.","Cyberdesk is the first self learning computer use agent for developers to automate desktop workflows. 

For example, one of our customers is building an AI agent for hospital patient intake, and they’re using us to automate an entire team of people manually clicking and typing into a desktop app to book appointments. 

We launched mid July, and our agent is already operating in production environments, creating appointments in electronic health record apps and processing files in legacy ERPs.

We’ve built the first computer use agent that memorizes tasks and repeats them quickly while still adapting to unexpected changes on the screen. A good analogy is to how humans use computers: once we get used to an app, we use it much faster, while still adapting to random popups and crashes. This new paradigm for computer use will be needed by every company automating human workflows on computers.

Mahmoud previously built robotic process automation solutions impacting 20K+ employees at a Fortune 100 company. He also built AI & ML solutions at Baylor College of Medicine Neuroscience & Texas Children's Hospital + co-published a paper at the Rice Networks Group. 

Alan is ex-NASA and previously dropped out to be the first founding engineer at a PearX startup. He is a second time founder, having previously built and scaled a consumer AI app to thousands of paying users.

Computer-use agents will automate the $6T dollars spent on enterprise knowledge work and Cyberdesk will be the platform to power this.

We’d love to talk with you!
https://cal.com/mahmoud-al-madi-klrs5s/30min"
Datafruit,Summer 2025,The AI workspace for software implementations,https://datafruit.ai/,datafruit,"B2B; Engineering, Product and Design",Artificial Intelligence; Enterprise Software,2,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Engineering & Dev Tools,Vertical Agent Product,0.85,"Datafruit builds AI agents that capture conversations and structure project scope, acting as vertical AI agents for enterprise software implementations.","Datafruit helps enterprise delivery teams understand their customers deeply and deliver more profitably. We build AI agents capture every conversation, structure scope from day one, and use past projects to make every engagement sharper."
Dedalus Labs,Summer 2025,Compute substrate for AI agents,https://www.dedaluslabs.ai/,dedalus-labs,B2B; Infrastructure,Artificial Intelligence; Developer Tools; Workflow Automation; DevOps,10,"San Francisco, CA, USA",Active,Early,CaaS Platform,Infrastructure & DevOps,Agent Building Platform,0.95,"Dedalus Labs provides a compute substrate for hosting long-running, stateful AI agents, enabling agent deployment infrastructure.","The fastest persistent computer for agents. Host long-running, stateful agents that never sleep in <250ms. "
Doe,Summer 2025,"The boring stuff, handled. Everything else, supercharged.",https://doe.so/,doe,B2B,Artificial Intelligence; Generative AI; SaaS; Productivity; Data Visualization,4,"San Francisco, CA, USA",Active,Early,CaaS Platform,General Purpose / Horizontal,Agent Building Platform,0.95,"Doe provides AI agents that connect to user tools and autonomously handle tasks, enabling users to build and use agents for productivity.","Doe is where AI agents actually do your work. Connect your tools, tell Doe what you need, and agents handle it. When you want to do something yourself, Doe makes you faster and smarter. The boring stuff disappears. Everything else gets better."
EffiGov,Summer 2025,The AI OS for Cities,https://effigov.com,effigov,Government,Artificial Intelligence; GovTech,3,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Government,Vertical Agent Product,0.9,EffiGov builds AI call operator agents for local governments to handle 311 and departmental calls autonomously.,EffiGov is building an AI OS for local governments. We've started with AI call operators that answer 311 and departmental lines 24/7 - handling everything from permit applications to animal control.
Embedder,Summer 2025,AI Agents for Firmware,https://www.embedder.com,embedder,"B2B; Engineering, Product and Design",Artificial Intelligence; Developer Tools; Hardware; B2B,6,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Engineering & Dev Tools,Vertical Agent Product,0.9,"Embedder builds an AI coding agent specialized in writing, testing, and debugging firmware autonomously on hardware.","Embedder is building an AI coding agent that can write, test, and debug firmware on real hardware."
Epicenter,Summer 2025,"ChatGPT's memory feature in an open, portable format",https://epicenter.so,epicenter,Consumer,SaaS; Productivity; Open Source; Note-taking; AI Assistant,1,"San Francisco, CA, USA",Active,Early,CaaS Platform,General Purpose / Horizontal,Agent Memory & State,0.9,"Epicenter provides an open ecosystem for AI agents with shared memory and interoperability, enabling agent customization and data ownership.","Epicenter is an ecosystem of open-source, local-first apps that share a memory. We store all your work—notes, transcripts, chat histories—in a single folder of plain text and SQLite. Every tool we build shares this memory: your text editor, personal assistant, etc.. It's open, tweakable, and yours. Grep it, open it in Obsidian, host it wherever you like. The choice is yours.

Our vision is to build a personal workspace where you own your data, choose your own AI models, and replace siloed apps with open, interoperable alternatives. All while preserving authenticity and being free and open source. ❤️"
Flai,Summer 2025,We Bring Customers to Your Dealership,https://www.useflai.com/,flai,Industrials; Automotive,,23,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Sales & Marketing,Vertical Agent Product,0.9,"Flai offers AI voice assistants that autonomously handle dealership calls and scheduling, a specific vertical agent product.","The problem we solve: 56% of dealership leads arrive after business hours, and most dealers lose these potential customers to competitors who happen to be available 24/7. Missing after-hours calls alone costs the average dealership $1M annually in lost revenue.

We built Flai to fix this - AI assistants that answer dealership calls 24/7, scheduling test drives, oil changes, or running outbound recall campaigns so no opportunity slips away.

The result: No more missed opportunities, no more losing customers to competitors.

Our founding team has built voice AI products at HappyRobot, scaled infrastructure at Uber for millions of users, and applied data science at Netflix to solve operational challenges.

We're not just answering phones, we're helping dealerships win in an AI-first world where availability determine who gets the sale."
Fleetline,Summer 2025,Optimizing fleet planning with data driven algorithms,https://fleetline.ai,fleetline,B2B; Supply Chain and Logistics,Artificial Intelligence; Logistics; Supply Chain; Data Science,11,"New York, NY, USA",Active,Early,Single-Purpose Agent,Supply Chain and Logistics,Vertical Agent Product,0.9,"Fleetline uses LLMs and optimization algorithms to autonomously plan fleet logistics, a specialized agent product.","Fleetline is building the first complete-context algorithmic load planner for mid to large-sized trucking fleets. Today’s dispatchers face an overwhelming task: balancing regulations, customer demands, live fleet data, and individual driver needs, all while coordinating across siloed tools and teams. Mistakes run rampant, and each mistake is thousands of dollars. Even the select fleets using algorithms that have fleet-wide context struggle: the outputs are rigid, hard to interpret, and are blind to real-world nuances like driver preferences and schedule exceptions. Fleetline solves this by combining advanced optimization with LLMs that can easily adapt algorithms to each fleet’s needs and capture driver-specific information. The result is smarter planning truly optimized for every fleet and its drivers."
Floot,Summer 2025,The easiest way for non-coders to build apps with AI.,https://floot.com,floot,"B2B; Engineering, Product and Design",SaaS; No-code; Web Development; AI,4,"San Francisco, CA, USA",Active,Early,CaaS Platform,Engineering & Dev Tools,Agent Building Platform,0.9,"Floot enables non-coders to build AI-powered web apps with a specialized AI-first coding framework, effectively an agent-building platform.","Floot lets non-coders & entrepreneurs build real web apps that actually work. We’re taking a new approach by building everything from the ground up for AI.

✨ Try building an app at floot.com

Existing AI app builders fall short of enabling non-coders to build real, serious apps. They often:
- Break down when building anything more than a prototype or toy app
- Have non-coders stuck with errors they don’t understand
- Require non-coders to handle multiple services designed for developers (e.g. for backend, database, hosting, etc)

The fundamental problem: these AI app builders just cobble together existing developer tools and slap AI on top, but these tools were designed for humans and not for AI.

The result? Non-coders get excited, start building, hit a wall, and then abandon their projects.

Floot is purpose-built for AI. Our secret sauce:

1) Instead of reusing a coding framework designed for humans, we created a specialized framework that dictates how AI should write code and how the code runs on our infrastructure. This allows us to enforce best practices, detect errors earlier, and give the best feedback to the AI. As a result, Floot can write better code and fix issues more effectively.

2) Floot has the entire tech stack built-in (backend, database, hosting, etc) so building and managing an app feels seamless, especially for non-coders. And because we control every layer of the stack, we can optimize each layer for AI-first coding.

Because of this, non-coders can get more done with less time and prompting. They can finally build serious apps that work, instead of getting stuck in frustrating error loops and then abandoning their projects.

We also built a highly scalable hosting system directly on AWS so Floot apps can handle real traffic and business demands. This means non-coders can build, deploy, and scale their apps on a single platform seamlessly.

Plus, Floot is really fun to use! Try building an app at floot.com"
Fulcrum,Summer 2025,The agentic debugger for AI systems,https://fulcrumresearch.ai,fulcrum,B2B; Analytics,,2,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Engineering & Dev Tools,Vertical Agent Product,0.9,"Fulcrum builds red-teaming agents that autonomously test and debug AI systems, indicating a specific autonomous AI agent product for developers.","We build red-teaming agents that help developers fix their RL environments and improve their agents.

Our customers are tired of being bullshitted by their agents."
GhostEye,Summer 2025,Vulnerability Management for the Human Layer ,https://ghosteye.ai,ghosteye,B2B; Security,B2B; Cybersecurity; AI,5,"New York, NY, USA",Active,Early,Single-Purpose Agent,Security,Vertical Agent Product,0.9,"GhostEye provides autonomous AI agents that simulate phishing and social engineering attacks tailored to employees, a specific security-focused agent product.","Right now, someone could look up your employees online, craft a perfect phishing email using what they find, and get into your systems by lunch. Or just call your help desk and pretend to be a new hire. No malware. No exploit. Just a conversation.

GhostEye does this first. We continuously map your employees' real-world exposure the same way a threat actor would, then automatically generate and launch personalized phishing attacks, scam calls, texts, and deepfakes to test them before the real thing hits. Every attack is unique because every employee's exposure is unique.

Quantified human risk scores that track over time. Employees shown exactly how they were compromised. Not a training platform. A security tool.

"
Halluminate,Summer 2025,Data and RL environments to automate knowledge work,https://halluminate.ai/,halluminate,B2B,,5,"San Francisco, CA, USA",Active,Early,CaaS Platform,Engineering & Dev Tools,Agent Evaluation & Monitoring,0.9,"Halluminate provides datasets and sandbox environments to train and evaluate computer-use AI agents, enabling others to build and improve agents.","We help foundation model labs and enterprises train computer use AI with data and sandboxes.

A knowledge worker spends 90% of their day on a computer. A productive AI agent must similarly learn how to use our computers, browsers, and software to deliver real world value. 

Today, browser and computer use AI is inaccurate, slow, and expensive. Model labs and enterprises who want to improve these agents are bottlenecked by two resources: 

1) High quality datasets for benchmarking and evaluations
2) Realistic sandbox environments for safe and accurate testing/training (ex. a simulated version of Salesforce) 

Halluminate offers a suite of products and services to address both these issues. 

Our evaluation service combines proprietary datasets with high quality annotations to help our customers identify and prioritize the biggest failure modes of their computer- and browser- use AI. 

Our platform provides a catalog of fully managed sandboxes, empowering our customers to safely and accurately test/train at scale, resulting in improved performance. 

Our customers see
- Improved browser- and computer-use agent performance
- New and emergent frontier agent capabilities
- Data driven prioritization leading to exponentially faster development speed
- Increased revenue/sales via marketing from public benchmarks

Our paying customers already include leading computer use model labs and the two largest browser agent companies in the space. 

Wyatt and Jerry are friends that met their first week of school studying CS at Cornell University. They’ve been working and studying together for 7+ years. 
"
Humoniq,Summer 2025,AI-Native BPO for travel & transport,https://humoniq.ai,humoniq,B2B,Artificial Intelligence; Travel; Conversational AI,6,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Customer Support,Vertical Agent Product,0.85,"Humoniq offers an AI-native BPO for travel and transport customer support, implying autonomous agents handling support tasks.","Humoniq is building the first AI-Native BPO for the travel & transport industries, which outsource $20B of customer support each year. Our AI-native approach improves speed, accuracy, and satisfaction.

Our team is uniquely equipped to solve this challenge. We previously grew a travel management company, Flightfox (YC S12), to $22M/yr. We handled thousands of customer requests each month, which exposed the limitations of traditional outsourcing."
Idler,Summer 2025,Reinforcement learning environments. ,https://idler.ai/,idler,"B2B; Engineering, Product and Design",Reinforcement Learning,13,"San Francisco, CA, USA",Active,Early,CaaS Platform,Engineering & Dev Tools,Agent Building Platform,0.9,"Idler builds reinforcement learning environments to train AI models, enabling development of autonomous agents that code.",Idler builds reinforcement learning environments that teach AI models to code at expert human levels. We create training environments based on real-world coding scenarios that prepare models for the complex challenges they'll face in production.
Interface,Summer 2025,Building onestop.sh,https://www.theinterface.com,theinterface,Consumer,AI,2,"New York, NY, USA",Active,Early,CaaS Platform,General Purpose / Horizontal,Agent Orchestration,0.85,"TheInterface builds interfaces and a unified market for AI agents, focusing on agent transaction and orchestration infrastructure.","We research how the world gets encoded for agents, and build the interfaces they transact through. Our latest work is OneStop — a unified market for AI."
Interfere,Summer 2025,Production visibility for teams that ship fast,https://interfere.com,interfere,"B2B; Engineering, Product and Design",Artificial Intelligence; Developer Tools; Design,7,"New York, NY, USA",Active,Early,Single-Purpose Agent,Engineering & Dev Tools,Vertical Agent Product,0.9,Interfere offers an autonomous bug detection and resolution agent product that operates without human intervention.,"Interfere is the experience layer for modern product teams. Detect, triage, and fix bugs automatically – no human required. Interfere finds issues in your app, understands what's happening, and owns resolution from first signal to production.
"
Janet AI,Summer 2025,The Autonomous Product Management System,https://janet.ai,tryjanet,B2B,,4,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Engineering & Dev Tools,Vertical Agent Product,0.9,"Janet AI is described as an autonomous product management system, indicating a single-purpose autonomous AI agent product.","Janet AI (janet.ai) is the autonomous product management system, built for modern teams. Janet doesn’t wait for your manual work.

Janet AI is backed by Y Combinator, Formosa Capital, Paul Graham, Charles Ferguson, and others.

Check us out at janet.ai!"
KERNEL,Summer 2025,"Crazy fast, open source infra for AI agents to use the Internet",https://www.kernel.sh,kernel,B2B; Infrastructure,Developer Tools; Cloud Computing; Infrastructure; AI,6,"San Francisco, CA, USA",Active,Growth,CaaS Platform,Infrastructure & DevOps,Agent Orchestration,0.95,"Kernel provides open source infrastructure for AI agents to access the internet with features like session management and observability, enabling others to build and deploy agents.","Kernel is crazy fast, open source infra for AI agents to access the internet 🧠🕸️
- Built on unikernels for crazy fast cold starts and low resource usage
- Sub-150ms cold starts on managed headful browsers
- Built-in stealth mode with residential proxies and automatic CAPTCHA solving
- Full observability: session recording, live view, and full logs
- Persistent sessions that maintain cookies and auth across invocations
- Native support for all browser and computer use frameworks
- SOC 2 compliant and HIPAA-ready

Trusted by Cash App, Rye, and 1000+ others. Backed by Accel & Y Combinator (S25)."
Lanesurf,Summer 2025,Book any load in 10 minutes,https://www.lanesurf.com/,lanesurf,B2B,Artificial Intelligence; B2B; Logistics; Supply Chain; AI,8,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Supply Chain & Logistics,Vertical Agent Product,0.95,"Lanesurf offers an AI agent product that autonomously negotiates and books truck loads, acting as a specialized agent for logistics.","Over a million loads move via trucks in the US every day and even in 2026 they are still booked through endless negotiations over calls and emails.

Lanesurf solves this with an army of AI agents that find nearby empty trucks, call/email them in parallel, negotiate rates, and book the best available truck.

Live Demo: https://www.linkedin.com/feed/update/urn:li:activity:7394069447327555584/

Our self-improving voice AI stack is built for the messy reality of logistics - noisy calls, compliance checks, constant exceptions and turns them into faster bookings at better margins."
Locata,Summer 2025,AI Referral Automation for Primary Care Clinics,https://www.locatahealth.com/,locata,Healthcare; Healthcare IT,,4,"New York City, NY, USA",Active,Early,Single-Purpose Agent,Healthcare,Vertical Agent Product,0.95,"Locata deploys AI agents to automate referral management in healthcare, providing a specialized autonomous agent product.","Locata is an AI referral management platform for Primary Care. We deploy AI agents to automate every step of the referral process that back-office staff face daily, from submitting prior authorizations to broadcasting updates and following up with patients. This frees up staff to focus on patient care.

Primary care back-offices are severely understaffed and overburdened by administrative work associated with referrals. Additionally, patients suffer navigating the complex referral process, which can have disastrous health effects if they don’t get the care they need. These factors point to a glaring gap in the system—where out of over 100 million specialist referrals issued annually in the US, only half are actually completed. Locata is tackling this problem head-on, saving administrative staff hours each week and ensuring that the referral process goes as smoothly as possible for patients and their providers.

Alejandro and Josh met at Stanford where they graduated with BS degrees in Computer Science. Alejandro was a senior software engineer at Meta’s Reality Labs where he led development of several AI features for wearable products and prior to that conducted AI research at Stanford Medicine. Josh graduated with a masters in Computer Science, specializing in AI, before working as a software engineer at Google where he developed AI products that served over 1 billion users.

Within two weeks of building our product, we signed a major regional health center and have saved them over 100 hours of work in our first month live."
Magnetic,Summer 2025,AI Tax Preparer for CPA firms,https://www.magnetictax.com,magnetic,B2B; Productivity,,10,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Finance & Accounting,Vertical Agent Product,0.9,"Magnetic offers an AI tax preparer that autonomously processes documents and enters data, functioning as a specialized AI agent.","Magnetic scans client documents - from handwritten charity notes to excel spreadsheet Schedule Cs to multi-state K-1s - and enters them into tax software automatically, saving hours of tedious data entry. 

The accounting profession is facing a massive talent shortage, as graduates choose different professions and the old guard begins to retire. As a result, CPA and tax preparation firms are awash in clientele, but unable to keep up. At many firms, phones go unanswered, clients are ""fired"", and websites are taken down, as the existing workforce tries to handle the grueling 80 hour+ weeks necessary to push through tax season to the April 15th deadline.

We built this because a former colleague who owns her own tax firm asked us to automate her workload, and we quickly realized the massive opportunity. Thomas brings deep domain expertise as the former Head of Product at Keeper (YC W19), where he built tax engine automation systems and an OCR form scanning system that outperformed everything else on the market. At Keeper, he leveraged early access to OpenAI's LLMs (well before ChatGPT) to build systems that automated the entire tax filing process, allowing a tiny team of CPAs to process thousands of returns with near zero busy work. Patrick was the first engineer at FunCraft, shipping multiple mobile games with 1M+ downloads and building scalable shared codebases. We've worked together since 2017, including co-leading multiple teams at Zynga as PM & Tech Lead respectively.

The opportunity is massive - there are 80M US personal tax returns filed via professionals annually, in a $2B outsourcing market where individual CPA firms currently pay $100k-$1M per year for inferior services. We're positioned to capture significant market share by offering better accuracy & document coverage, instant processing, and superior user experience.

We've built this kind of software before, we've worked together for years (and even lived together), we've built products to $10M ARR before, and we have the grit to outwork anyone in this space."
Magnitude,Summer 2025,Frontier coding at half the cost,https://magnitude.dev,magnitude,"B2B; Engineering, Product and Design",Artificial Intelligence; Developer Tools; Enterprise Software; Infrastructure; AI,2,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Engineering & Dev Tools,Vertical Agent Product,0.9,"Magnitude is a coding agent that autonomously writes and edits code, sold as a specialized agent product.","Magnitude is a coding agent that runs on 90% open models, escalating to frontier models only when the work demands it."
Manufact,Summer 2025,Open source SDK & cloud infrastructure for MCP Servers & ChatGPT Apps ,https://manufact.com,manufact,B2B; Infrastructure,Artificial Intelligence; Developer Tools; B2B; Open Source; Infrastructure,5,"San Francisco, CA, USA",Active,Early,CaaS Platform,Infrastructure & DevOps,Agent Building Platform,0.95,"Manufact provides open-source SDK and cloud infrastructure specifically for building and deploying AI agents and MCP apps, enabling others to create AI agents quickly.","Manufact provides open-source dev tools and infrastructure for MCP to help dev teams quickly build and deploy MCP Servers for AI agents & MCP Apps for ChatGPT and Claude.
We developed the mcp-use SDK, which has over 7M downloads and 10,000 GitHub stars, and is used by 20% of the US 500.
Create MCP servers/apps in minutes, connect your GitHub repo, and make them immediately available to AI agents and ChatGPT."
Maximal,Summer 2025,Truckload Planning at Machine Precision,https://www.trymaximal.com,maximal,B2B; Supply Chain and Logistics,Logistics; AI,3,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Supply Chain & Logistics,Vertical Agent Product,0.9,"Maximal builds an autonomous load-planning platform that acts as an AI agent optimizing freight planning, a specific vertical use case.","Maximal is building autonomous systems to plan and move the world's freight.

Our first product is an algorithmic load planning platform for full truckload (FTL) carriers. Maximal is a context-aware, algorithmic load-planning platform for full-truckload (FTL) carriers. Our agents plug into a carrier's existing ERPs and communication channels, using that context to generate holistically optimized load plans. The result: carriers earn more revenue-per-mile while spending less time planning.

Our founding team
* grew up in 3PLs and trucking companies
* studied the math behind transportation science at Cornell, Columbia, and USC
* worked in an Amazon distribution center to optimize distribution center throughput at massive scale"
Meteor,Summer 2025,An AI-Native Browser,https://browse.dev,meteor,Consumer,Artificial Intelligence; Consumer; AI Assistant,2,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,General Purpose / Horizontal,Vertical Agent Product,0.9,"Meteor is an AI-native browser with autonomous agents acting as personal assistants to perform multi-step tasks online, a single-purpose agent product.","Meet Meteor: a Chrome-alternative that can actually do your work for you.

With agents getting better by the day (literally), we realize that it’s time to automate the boring, tedious work.

We use your browser session to empower agents to act like your personal assistants (ex. book a calendar, find cheaper flights, buy clothes on amazon etc.)

Some of Meteor’s features:

- Chat with any page
- Integrate with popular apps like Gmail, Google Calendar, Twitter etc.
- Browser agent to autonomously navigate the web and perform tasks
- More coming soon!

We're excited to usher in a new era of browsing."
Metis,Summer 2025,Infrastructure to build reliable agents,https://withmetis.ai,metis,B2B; Infrastructure,,13,"San Francisco, CA, USA; Remote",Acquired,Early,CaaS Platform,Infrastructure & DevOps,Agent Building Platform,0.9,"Metis builds infrastructure enabling AI agents to reliably perform complex tasks, indicating an agent-enabling platform.",We build infrastructure enabling AI agents to reliably perform complex tasks in production
Mimos,Summer 2025,The growth OS for plaintiff-side law firms,https://www.trymimos.com/,mimos,B2B,SaaS; LegalTech; AI,1,"New York City, NY, USA",Active,Early,Single-Purpose Agent,Legal & Compliance,Vertical Agent Product,0.85,"Mimos automates lead generation and intake workflows for plaintiff-side law firms using AI agents, a vertical-specific autonomous agent product.","Plaintiff-side law firms compete in some of the most expensive search ad markets to acquire high-intent leads, but the path from click, call, or form fill to signed retainer is still fragmented. Disconnected intake workflows, slow response times, and disconnected spend-to-case data makes it hard to know what is actually working.

Mimos automates their growth and intake playbook:
1. Generate Qualified Leads: Our agents manage Google Ads, Local Services Ads, Google Business Profile, and other high-intent acquisition channels.
2. Convert Faster: Every lead flows into a CRM built for intake, triage, follow-up, and handoff from inquiry to signed retainer.
3. Close the Loop: We connect spend, lead source, intake actions, and signed-case outcomes so firms know what to scale, pause, or fix.

The result: more qualified leads, less wasted spend, and more signed cases."
Minimal AI,Summer 2025,AI Agents for E-commerce Customer Support,https://gominimal.ai/,minimal-ai,B2B,,3,,Active,Early,Single-Purpose Agent,Customer Support,Vertical Agent Product,0.9,"Minimal AI builds AI agents for e-commerce customer support that autonomously resolve tickets, a vertical single-purpose agent product.",Minimal AI makes it easy for e-commerce brands to build and manage AI support teams that resolve 90%+ of tickets while increasing revenue.
Monte,Summer 2025,Continual Learning for Agents,https://trymonte.ai,monte,"B2B; Engineering, Product and Design",Artificial Intelligence; Reinforcement Learning; B2B; Infrastructure,3,"San Francisco, CA, USA",Active,Early,CaaS Platform,Infrastructure & DevOps,Agent Evaluation & Monitoring,0.9,"Monte focuses on continual learning and recursive self-improvement for AI agents, providing infrastructure and research for agent capabilities.",Monte is an applied research lab building products for continual learning and recursive self-improvement for AI agents.
Motives,Summer 2025,Consumer focus groups run by AI,https://motives.ai/,motives,B2B; Marketing,Artificial Intelligence; B2B; Marketing; Market Research,,"London, England, United Kingdom",Active,Early,Single-Purpose Agent,Marketing,Vertical Agent Product,0.85,"Motives uses AI agents to autonomously run qualitative research projects, a vertical-specific autonomous agent product for marketing.","Motives is a team of AI agents that runs qualitative research projects for consumer brands: moderating and analyzing video interviews to help brands understand consumer preferences and test new ideas, in hours instead of weeks. 

"
NOSO LABS,Summer 2025,Build AI agents for field technicians to diagnose and sell 10x better,https://noso.so,noso-labs,Industrials,Artificial Intelligence,3,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Industrials,Vertical Agent Product,0.9,"NOSO LABS builds AI agents to assist field technicians with diagnostics and sales, a vertical single-purpose agent product.","In the home services industry, field technicians are expected to handle three key tasks: diagnosing issues, making sales, and completing paperwork. It's rare to find individuals who excel at all three. We build AI agents to support technicians by improving diagnostic accuracy and helping them capture sales opportunities."
Notte,Summer 2025,Reliable Web Agents for Enterprise,https://www.notte.cc/,notte,B2B,Developer Tools; Automation; AI,5,"San Francisco, CA, USA",Active,Early,CaaS Platform,General Purpose / Horizontal,Agent Building Platform,0.95,"Notte provides a platform and infrastructure to build and deploy enterprise-grade web AI agents via a single API, enabling others to create agents.","Nottelabs offers a platform to build and deploy enterprise-grade browser agents. We help companies cut costs and save time by automating repetitive tasks. Unlike others, we provide agents, tools, and infrastructure through a single API, making us the fastest path to reliable web AI agents in production."
Okibi,Summer 2025,"Build AI coworkers using natural language, it's Lovable for agents",https://okibi.ai,okibi,B2B,AIOps; B2B; Automation; AI; Conversational AI,2,"San Francisco, CA, USA",Active,Early,CaaS Platform,General Purpose / Horizontal,Agent Building Platform,0.95,"Okibi lets users build AI coworkers (agents) using natural language, enabling custom agent creation for internal software automation.","Okibi is a web app that lets you create AI coworkers using natural language.

It's like Lovable for creating AI agents that talk to your internal software

Corporate users lose 2 hours every day doing tasks that can be automated with agents

But existing agent builders have janky drag and drop UIs that don’t map to what they want exactiy.

Okibi lets everyone use natural language to build the exact agent they want."
Orange Slice,Summer 2025,Agentic sales enrichment spreadsheet,https://orangeslice.ai,orange-slice,B2B; Sales,,2,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Sales & Marketing,Vertical Agent Product,0.9,"Orange Slice offers an agentic sales enrichment spreadsheet that autonomously executes multi-step data enrichment tasks, a single-purpose AI agent product.","Orange Slice is a spreadsheet where every column is TypeScript—and AI writes it for you. Describe what you want in chat (""find the CEO's LinkedIn and get their email""), and we generate the code, create the columns, and run it across thousands of rows. Our fully-typed SDK has 100+ enrichments built in: LinkedIn, contact info, company data, web scraping, AI research. Columns automatically execute in dependency order. No workflow builders—just describe it or code it."
