name,tier,section,memory_model,desc_first
Nabla + Navina,T1,— Healthcare AI memory,Ambient + historical real-time reconciliation,Ambient scribe + longitudinal clinical intelligence (strategic partnership Jul 2025).
Suki AI,T1,— Healthcare AI memory,Pre-visit summary + prior-note synthesis,Doctor-assist ambient documentation.
DeepScribe,T1,— Healthcare AI memory,Longitudinal oncology pull-forward,Specialty-care ambient scribe (oncology focus).
Abridge,T1,— Healthcare AI memory,Grounded-transcript provenance,Clinician-assist ambient documentation.
OpenEvidence (DeepConsult + Visits),T2,— Healthcare AI memory,Encounter-grounded evidence synthesis,Clinical decision support.
Heidi Health,T2,— Healthcare AI memory,Clinician-voice / provider-side personalisation,Ambient documentation with clinician-profile learning.
Harvey Memory,T1,— Legal AI memory,4-tier matter / firm / client-institution memory,Personal lawyer memory + matter memory + institutional firm memory + client-institution memory.
Luminance Institutional Memory,T1,— Legal AI memory,Persistent negotiation history + accepted-risk registry,Jan 2026 platform relaunch.
Filevine LOIS,T1,— Legal AI memory,Whole-matter context as live LLM input,Embedded in case-management platform.
Eve — Shared Firm Knowledge + Auditor,T1,— Legal AI memory,Firm-level store + nightly autonomous case auditor,Plaintiff litigation.
Spellbook Library,T1,— Legal AI memory,Firm-precedent corpus memory,Transactional / contract drafting.
Clio Duo / Manage AI,T2,— Legal AI memory,Matter-scoped PMS-native context retrieval,SMB law firms.
CoCounsel Legal (Thomson Reuters),T2,— Legal AI memory,Session-scoped agentic context,Aug 2025 relaunch added agentic deep-research workflows (plan-execute-cite).
Hebbia Matrix,T2,— Legal AI memory,Firm-specific configuration over multi-agent synthesis,Corporate / transactional due diligence.
Sierra,T1,— Customer support / voice agent memory,Unified customer graph (Agent Data Platform),Bret Taylor + Clay Bavor.
Decagon,T1,— Customer support / voice agent memory,Cross-channel conversation graph,"Autonomous support agents resolving end-to-end (refunds, cancellations)."
Cognigy,T1,— Customer support / voice agent memory,"Two-tier short + long-term, shared across agents",Enterprise contact centre (voice + chat).
ASAPP GenerativeAgent,T1,— Customer support / voice agent memory,Long-term interaction memory + preference,Treats memory as first-class architecture.
Cresta,T2,— Customer support / voice agent memory,Shared memory across human/AI handoffs,Sales + contact centre.
PolyAI,T2,— Customer support / voice agent memory,Runtime context-orchestration framework,Enterprise voice agents.
Intercom Fin,T2,— Customer support / voice agent memory,CRM attributes + roadmap lifecycle memory,CX support.
Replicant,T2,— Customer support / voice agent memory,Session context + structured handoff,"Voice automation (payment, scheduling, order status)."
LivePerson Conversation Context Service,T2,— Customer support / voice agent memory,Named cloud-based shared session-state KV,"Architecturally notable — a named, documented service."
Salesforce Agentforce / Einstein,T2,— Customer support / voice agent memory,Customer 360 + Data Cloud as context layer,Agentforce agents grounded in Data Cloud — unified customer record across silos.
Inworld AI,T1,— Gaming / NPC character memory,Long-term character memory + Character Brain,Leading purpose-built NPC engine.
Convai (Mimir),T1,— Gaming / NPC character memory,3-tier hierarchical memory + scene awareness,"Mimir hierarchical memory: short-term (verbatim), medium-term (summaries + emotion), long-term (cross-session)."
Charisma.ai,T1,— Gaming / NPC character memory,Author-controlled memory nodes + lying / misremembering,No-code interactive narrative platform.
Latitude / Voyage,T1,— Gaming / NPC character memory,World Engine — separate state-management AI,AI Dungeon's maker.
Character.ai,T1,— Gaming / NPC character memory,Layered: chat memories + auto-memories + pinned,"Chat Memories (user-defined facts), auto-memories for c.ai+ subscribers, pinned memories, in-context retention."
Replika,T2,— Gaming / NPC character memory,Memory bank + diary entries,Decade-old AI companion.
Nomi AI,T2,— Gaming / NPC character memory,Mind Map 2.0 — navigable memory graph,AI companion built around long-term memory as primary differentiator.
Soul Machines,T2,— Gaming / NPC character memory,Patented Digital Brain + cross-session memory,NZ/US digital-humans company.
Spirit AI Character Engine,T2,— Gaming / NPC character memory,Author-defined character knowledge graph,Authoring toolkit + SDK for narrative designers.
Figure Helix,T1,— Robotics / autonomous-driving / embodied memory,Temporal vision memory + tactile buffer,System 2 (7B VLM) feeds tokens to System 1 (80M visuomotor policy at 200 Hz).
π0.5 (Physical Intelligence),T1,— Robotics / autonomous-driving / embodied memory,Multi-Scale Embodied Memory (short + long episodic),"Extends π0 with MEM layer giving the policy short-term (within-task) + long-term (cross-task, >10-min horizon) memory."
NVIDIA Isaac GR00T N1.7,T3,— Robotics / autonomous-driving / embodied memory,Slow VLM planner + fast diffusion action model,"Dual-system (VLM ""System 2"" + Diffusion Transformer ""System 1"") jointly trained end-to-end; planner outputs persist as conditioning context across action generation."
NVIDIA ReMEmbR,T3,— Robotics / autonomous-driving / embodied memory,Spatio-temporal episodic store (vector DB + coordinates),"Builds long-horizon memory by captioning video segments with VILA, storing captions with timestamps + 3D position coordinates in MilvusDB."
MemoryVLA,T3,— Robotics / autonomous-driving / embodied memory,Perceptual + Cognitive Memory Bank (ICLR 2026),Two-tier memory bank on a VLA backbone.
SG-Nav,T3,— Robotics / autonomous-driving / embodied memory,Online 3D scene graph (incremental spatial memory),"Incrementally constructs hierarchical 3D scene graph during navigation — nodes for objects/groups/rooms, edges for spatial relations."
Meta-Memory,T4,— Robotics / autonomous-driving / embodied memory,Semantic-spatial dual-modality memory + multi-hop retrieval,Formalises spatial localisation question answering (SLQA).
GWM (Gaussian World Models),T3,— Robotics / autonomous-driving / embodied memory,3D Gaussian Splatting latent world model,Encodes scene into 3D Gaussian Splat representations via 3D VAE; latent Diffusion Transformer predicts future Gaussian Splat states conditioned on robot actions.
Wayve GAIA-2 / GAIA-3,T1,— Robotics / autonomous-driving / embodied memory,Multi-view latent diffusion world model,All surround-camera views encoded through video tokeniser to continuous latent; past latent sequences serve as explicit temporal context via space-time factorised transformer.
Tesla FSD V13 — Occupancy + 4D World,T1,— Robotics / autonomous-driving / embodied memory,3D occupancy network + temporal multi-modal fusion,Single end-to-end neural network ingesting multi-camera video + navigation + ego-motion.
Sanctuary AI Carbon (Phoenix Gen 7/8),T1,— Robotics / autonomous-driving / embodied memory,Cognitive architecture with explicit task memory,"Mirrors human cognitive functions: explicit memory, vision, hearing, tactile."
Skild Brain,T1,— Robotics / autonomous-driving / embodied memory,In-context real-time memory + live data collection,Real-time simultaneous inference + data collection — dynamically updates in-context representation as the robot encounters new situations.
ELSA Speak,T1,— Education AI memory,Evolving phoneme-level pronunciation profile,"Persistent pronunciation profile per user, tracking which sounds, words, and patterns the learner consistently mispronounces."
Duolingo Max,T1,— Education AI memory,SRS state + GPT-4 roleplay continuity,"Adds GPT-4-powered Roleplay (character conversations, with cross-call memory for ""Lily"") and Explain My Answer on top of Duolingo's existing spaced-repetition engine, which tracks per-word and per-skill mastery state across all sessions."
Quizlet — AI Study Tools / Magic Notes,T1,— Education AI memory,Per-set Memory Score (SRS) + Magic Notes generation,Tracks per-card answer history within a study set; computes a Memory Score for SRS scheduling.
MagicSchool,T1,— Education AI memory,Teacher tooling — no student-facing memory by design,"Teacher productivity platform (80+ teacher tools, 50+ student tools) for planning, differentiation, IEP generation, feedback."
Khanmigo,T2,— Education AI memory,Chat history + Khan Academy mastery state,Stores full chat transcripts per student (visible to learner and teacher via dashboard).
SchoolAI,T2,— Education AI memory,Teacher-configured Spaces with observable session logs,"Teacher-created ""Spaces"" (structured AI workspaces) where Dot, the student-facing assistant, guides learners through agendas."
Speak,T2,— Education AI memory,Onboarding curriculum + per-session conversation,Onboarding assessment builds an initial learner profile and generates a personalized curriculum; AI supports open-ended conversational practice with real-time speech recognition.
Synthesis Tutor,T3,— Education AI memory,Real-time micro-assessment adaptation,"Embeds micro-assessments into every lesson to track understanding in real time, adjusting difficulty and teaching approach within session."
ChatGPT Study Mode,T3,— Education AI memory,Socratic mode + general ChatGPT Memory,"Activates a Socratic interaction style — guiding questions, scaffolded concepts, knowledge checks rather than direct answers."
ImplicitMemBench,T3,Memory benchmarks & evaluation,Implicit / procedural memory benchmark,"300 items across three paradigms: procedural memory (one-shot skill retention after interference), priming (theme-driven response biases), classical conditioning (CS-US exposure shaping first decisions)."
MemEvoBench,T4,Memory benchmarks & evaluation,Adversarial memory-evolution safety benchmark,QA tasks across 7 domains / 36 risk types plus workflow tasks adapted from 20 Agent-SafetyBench environments with noisy tool returns; both use mixed benign-and-misleading memory pools in multi-round interactions.
ICLR 2026 MemAgents Workshop,T2,Memory benchmarks & evaluation,Workshop venue — RL + cognitive psychology + LLM memory,"Full-day hybrid workshop held April 27, 2026, Rio de Janeiro."
LongMemEval,T3,Memory benchmarks & evaluation,Long-term chat-assistant memory across sessions,"5 core memory abilities — info extraction, multi-session reasoning, temporal reasoning, knowledge updates, abstention — via 500 curated questions in synthetic chat histories."
LoCoMo,T3,Memory benchmarks & evaluation,Very long-term multi-session dialogue memory,"Conversations spanning up to 35 sessions / 300 turns / ~9K tokens, built from LLM-agent personas grounded on temporal event graphs and verified by human annotators."
NIAH (Needle in a Haystack),T4,Memory benchmarks & evaluation,Single-fact verbatim retrieval from long context,"Places a known sentence (""needle"") at varying positions inside a long irrelevant document (""haystack"") and prompts the model to retrieve it."
BABILong,T3,Memory benchmarks & evaluation,Distributed multi-fact reasoning across long docs,"Extends 20 bAbI reasoning tasks (fact chaining, induction, deduction, counting, lists) by scattering relevant sentences across PG-19 book text."
RULER,T3,Memory benchmarks & evaluation,Configurable multi-task long-context stress test,NVIDIA.
HELMET,T3,Memory benchmarks & evaluation,Holistic downstream-task long-context eval,Princeton NLP.
InfiniteBench (∞Bench),T3,Memory benchmarks & evaluation,100K+ token realistic long-context comprehension,Tsinghua / OpenBMB.
LongBench,T3,Memory benchmarks & evaluation,Bilingual multitask long-context suite,Tsinghua THUDM.
MemBench,T3,Memory benchmarks & evaluation,Multi-dim agent memory mechanism comparison,Renmin University.
MemoryAgentBench,T3,Memory benchmarks & evaluation,4-competency agent memory benchmark,HUST.
MemoryArena,T4,Memory benchmarks & evaluation,Multi-session agentic memory eval gym,Stanford Digital Economy Lab et al.
MemoryBench (Tsinghua THUIR),T3,Memory benchmarks & evaluation,Declarative + procedural continual-learning bench,Tsinghua THUIR.
Zep / Graphiti,T1,Memory observability & monitoring,Bi-temporal KG with provenance,Memory and observability in one.
Galileo (galileo.ai),T1,Memory observability & monitoring,Real-time intent / belief drift detection,Treats memory as first-class in multi-agent tracing.
Langfuse,T1,Memory observability & monitoring,Memory ops as named spans + Agent Graphs,Memory module reads/writes captured as named spans.
Mem0 (with AgentOps),T1,Memory observability & monitoring,Memory Operation Timeline + Search Analytics,"When integrated with AgentOps, surfaces Memory Operation Timeline, Search Analytics (query patterns, hit rates), Memory Growth curves, Cost Attribution per memory op."
Ratine,T2,Memory observability & monitoring,Offline scanner — memory poisoning detector,Only tool found that scans the persistent memory layer on disk rather than runtime tracing.
AgentOps,T2,Memory observability & monitoring,Operational metrics for agent memory,"When Mem0 is connected, gains Memory Operation Timeline, Search Analytics, Memory Growth tracking, Error Tracking per memory call."
LangSmith,T1,Memory observability & monitoring,Memory mutations as distinct span types,"Memory reads, vector DB retrievals, state changes are distinct span types in traces."
Lakera Guard / Lakera Red,T1,"Memory governance, privacy & safety",Real-time prompt-injection + poisoning screen,"Screens every prompt, response, and retrieved document for indirect prompt injection — primary vector for memory poisoning."
OWASP Agent Memory Guard,T3,"Memory governance, privacy & safety",Declarative YAML policies + SHA-256 baselines,Open-source runtime defense.
Microsoft Agent Governance Toolkit,T2,"Memory governance, privacy & safety",Cross-Model Verification Kernel + Agent OS,Cross-Model Verification Kernel (CMVK) requires majority-voting agreement across multiple model calls before a memory-influenced action.
Mem0 Security / OpenMemory,T1,"Memory governance, privacy & safety",SOC 2 + HIPAA + zero-trust + BYOK,"Commercial Mem0 ships SOC 2 / HIPAA, zero-trust access controls, BYOK encryption, real-time monitoring, audit logs, workspace governance as defaults."
Enkrypt AI,T1,"Memory governance, privacy & safety",Three-point RAG / memory pipeline guardrails,"Applies guardrails at three points: (1) before write to vector DB, (2) before query reaches embedding model, (3) before response."
Acuvity (now Proofpoint),T1,"Memory governance, privacy & safety",MCP / Shadow-AI runtime enforcement,"Runtime enforcement targeting memory poisoning, unauthorised execution, identity spoofing per the OWASP LLM threat list."
HiddenLayer AISec Platform 2.0,T1,"Memory governance, privacy & safety",Model Genealogy + AIBOM (supply-chain layer),Targets the supply-chain / lineage layer rather than runtime memory writes.
Zep — governance posture,T1,"Memory governance, privacy & safety",Bi-temporal KG = structural provenance,"Bi-temporal knowledge graph preserves full lineage of every stored fact — every memory write traceable and auditable by graph schema, not bolted-on logging."
From Human Memory to AI Memory (survey),T4,Theoretical / informal — ideas without a paper,3D taxonomy: object × form × time,"Eight-quadrant classification grid across personal/system, parametric/non-parametric, and short-term/long-term axes."
Externalization in LLM Agents,T4,Theoretical / informal — ideas without a paper,Memory + skills + protocols as coupled externalization,"Traces the shift from weights-as-capability to harness-as-capability; analyzes memory, skills, and protocols as three coupled forms of externalization and examines how they interact."
Memory as Metabolism,T5,Theoretical / informal — ideas without a paper,Metabolic governance cycle for companion knowledge,Argues that companion AI knowledge systems must treat memory as a continuous metabolic process rather than a static store.
LLM as OS Kernel,T5,Theoretical / informal — ideas without a paper,Architectural metaphor,"LLM is ""the kernel process of a new Operating System"" orchestrating I/O, code interpreter, browser, and an embedding store for files / internal memory."
LLM OS Specs,T5,Theoretical / informal — ideas without a paper,Memory in hardware terms,"Operationalises the kernel analogy: 256-core processor at 20 Hz (tokens/sec), RAM = 128K tokens of context, filesystem = Ada-002 embedding store."
Context Engineering,T5,Theoretical / informal — ideas without a paper,Discipline rename,"""+1 for 'context engineering' over 'prompt engineering' … the delicate art and science of filling the context window with just the right information for the next step."" The LLM is ""a coworker with anterograde amnesia"" — cannot consolidate or build long-running knowledge once training ends."
LLM Wiki — compiled memory,T5,Theoretical / informal — ideas without a paper,Compilation over RAG,"Three-layer directory: raw/ (immutable sources), wiki/ (LLM-maintained compiled pages), CLAUDE.md (schema)."
Four-Type Agent Memory Taxonomy,T5,Theoretical / informal — ideas without a paper,Cognitive-science → LLM mapping,"""Agent = LLM + memory + planning + tools."" Maps cognitive memory types to LLM machinery: sensory (learned embeddings), short-term / in-context (the context window), long-term (external vector store with fast retrieval)."
Context Expansion Law,T5,Theoretical / informal — ideas without a paper,Parkinson's-Law analogue for context,"""Application context tends to expand to fill the context limits supported by the model."" Treats agent memory as a first-class unresolved design problem rather than a solved component; explicitly defers a memory deep-dive to a future post."
Files Are All You Need,T5,Theoretical / informal — ideas without a paper,Filesystem as memory interface,"Coding agents (Claude Code, Cursor) converge on the filesystem as their primary memory abstraction: conversation histories as searchable files, skills as files, retrieval via file search rather than vector DBs."
RL-Based Continual Learning as Memory,T5,Theoretical / informal — ideas without a paper,Memory-in-weights via on-policy RL,On-policy RL is naturally more resistant to catastrophic forgetting than supervised fine-tuning — its online nature biases learning toward low-distribution-shift updates.
Memory Poisoning as Attack Surface,T5,Theoretical / informal — ideas without a paper,Security framing,"Agent persistent memory is an attack surface: an adversarial document in the environment can instruct the agent's memory tool to write malicious facts, poisoning the long-term store."
Context Engineering — naming event,T5,Theoretical / informal — ideas without a paper,Discipline crystallisation,"Endorses ""context engineering"" as a distinct discipline from prompt engineering — what agents do with their context window (routing, compression, tool output formatting, memory retrieval injection) is engineering, not just prompting."
JEPA Six-Module World Model (informal),T5,Theoretical / informal — ideas without a paper,Memory as architecturally peer module,"Six-module cognitive architecture (perception, world model, cost, memory, action, configurator)."
