system_name,modalities,volume_claim,conflict_resolution,pedigree,source_url_modalities,source_url_volume,source_url_conflict,source_url_pedigree
SearchUnify,text,internal — undisclosed enterprise scale,none specified (editorial governance via KCS),"SearchUnify (Vishal Sharma, founder; enterprise search; privately held)",https://www.searchunify.com/,https://www.searchunify.com/,https://www.searchunify.com/,https://www.searchunify.com/
Clarivate,text,Web of Science: 160M+ records (vendor-stated),manual (human editorial governance),Clarivate plc (public company; formerly Thomson Reuters IP & Science; NYSE: CLVT),https://clarivate.com/,https://clarivate.com/,https://clarivate.com/,https://clarivate.com/
Coveo,text,internal — undisclosed enterprise scale,not applicable (RAG-as-a-Service; read-only at query time),"Coveo (Louis Têtu, CEO/co-founder; ex-Taleo; NYSE: CVO; Quebec-based)",https://www.coveo.com,https://www.coveo.com,https://www.coveo.com,https://www.coveo.com
Sinequa,text,internal — undisclosed enterprise scale (Fortune 500 deployments),not applicable (read-only hybrid retrieval),"Sinequa (Alexandre Bilger, CEO; Paris-based; enterprise software)",https://www.sinequa.com,https://www.sinequa.com,https://www.sinequa.com,https://www.sinequa.com
Mindbreeze InSpire,text,internal — undisclosed enterprise scale,not applicable (read-only entitlement-aware retrieval),"Mindbreeze GmbH (Daniel Fallmann, founder; Linz Austria; Fabasoft spin-off)",https://www.mindbreeze.com,https://www.mindbreeze.com,https://www.mindbreeze.com,https://www.mindbreeze.com
Meilisearch,text + image,no scale claim — open-source; scales with infrastructure,not applicable (read-only search + RAG),"Meilisearch (Clément Renault & Thomas Payet, co-founders; Paris-based; Accel-backed)",https://www.meilisearch.com,https://www.meilisearch.com,https://www.meilisearch.com,https://www.meilisearch.com
Algolia (NeuralSearch),text,internal — undisclosed (enterprise SaaS; large-scale deployments),not applicable (read-only retrieval + personalisation),"Algolia (Nicolas Dessaigne & Julien Lemoine, co-founders; Paris/SF; Accel-backed)",https://www.algolia.com,https://www.algolia.com,https://www.algolia.com,https://www.algolia.com
LabGenius,text + sensor,internal — undisclosed (continuous experiment loop data),not applicable (Design-Build-Test-Learn closed loop; no conflict resolution needed),"LabGenius (James Field, founder/CEO; ex-UCL synthetic biology; London-based)",https://www.labgenius.app/,https://www.labgenius.app/,https://www.labgenius.app/,https://www.labgenius.app/
Eve — Shared Firm Knowledge + Auditor,text,internal — undisclosed (firm-level store; litigation domain),LLM-arbitrate,Eve Legal (no founders named publicly; plaintiff litigation AI; no data from search),https://www.eve.legal/,https://www.eve.legal/,https://www.eve.legal/,https://www.eve.legal/
Quizlet — AI Study Tools / Magic Notes,text + image,internal — undisclosed (500M+ users; vendor-stated),LLM-arbitrate (SRS scheduling per card),"Quizlet (Andrew Sutherland, founder; high-school project origin; General Atlantic-backed; San Francisco)",https://quizlet.com/features/ai-study-tools,https://quizlet.com/features/ai-study-tools,https://quizlet.com/features/ai-study-tools,https://quizlet.com/features/ai-study-tools
Synthesis Tutor,text,internal — undisclosed,not applicable (micro-assessment adaptation; no persistent conflict),"Synthesis (Josh Dahn, co-founder; ex-SpaceX Ad Astra teacher; Josh Hug co-founder; SF-based)",https://www.synthesis.com/tutor,https://www.synthesis.com/tutor,https://www.synthesis.com/tutor,https://www.synthesis.com/tutor
ChatGPT Study Mode,text,internal — undisclosed (ChatGPT Memory backend),LLM-arbitrate (Socratic mode + general ChatGPT Memory),OpenAI,https://openai.com/index/chatgpt-study-mode/,https://openai.com/index/chatgpt-study-mode/,https://openai.com/index/chatgpt-study-mode/,https://openai.com/index/chatgpt-study-mode/
ImplicitMemBench,text,no scale claim — benchmark (300 evaluation items),not applicable (evaluation benchmark),no data — searched arxiv.org/abs/2604.08064; author affiliations not found in preview,https://arxiv.org/abs/2604.08064,https://arxiv.org/abs/2604.08064,https://arxiv.org/abs/2604.08064,https://arxiv.org/abs/2604.08064
MemEvoBench,text,no scale claim — benchmark,not applicable (evaluation benchmark),no data — searched arxiv.org/abs/2604.15774; author affiliations not found in preview,https://arxiv.org/abs/2604.15774,https://arxiv.org/abs/2604.15774,https://arxiv.org/abs/2604.15774,https://arxiv.org/abs/2604.15774
ICLR 2026 MemAgents Workshop,text,not applicable (workshop venue),not applicable (workshop venue),ICLR 2026 organizing committee; hosted at sites.google.com/view/memagent-iclr26,https://sites.google.com/view/memagent-iclr26/,https://sites.google.com/view/memagent-iclr26/,https://sites.google.com/view/memagent-iclr26/,https://sites.google.com/view/memagent-iclr26/
NIAH (Needle in a Haystack),text,tests up to model context-window max (128K+ in practice),not applicable (evaluation benchmark),Greg Kamradt (independent AI researcher); open-source 2023,https://github.com/gkamradt/LLMTest_NeedleInAHaystack,https://github.com/gkamradt/LLMTest_NeedleInAHaystack,https://github.com/gkamradt/LLMTest_NeedleInAHaystack,https://github.com/gkamradt/LLMTest_NeedleInAHaystack
MemoryArena,text,no scale claim — benchmark,not applicable (evaluation benchmark),Stanford Digital Economy Lab et al.; arxiv 2602.16313,https://arxiv.org/abs/2602.16313,https://arxiv.org/abs/2602.16313,https://arxiv.org/abs/2602.16313,https://arxiv.org/abs/2602.16313
MemoryBench (Tsinghua THUIR),text,no scale claim — benchmark,not applicable (evaluation benchmark),Tsinghua THUIR; arxiv 2510.17281,https://arxiv.org/abs/2510.17281,https://arxiv.org/abs/2510.17281,https://arxiv.org/abs/2510.17281,https://arxiv.org/abs/2510.17281
Zep / Graphiti,text,no scale claim — local or managed cloud,bi-temporal versioning,Zep AI (YC W24; Daniel Chalef),https://www.getzep.com/,https://www.getzep.com/,https://www.getzep.com/,https://www.getzep.com/
Mem0 (with AgentOps),text,cloud-managed; no published per-user cap,LLM-arbitrate,Mem0 (YC S24; Taranjeet Singh & Deshraj Yadav),https://mem0.ai/,https://mem0.ai/,https://mem0.ai/,https://mem0.ai/
Ratine,text,not applicable (scanner; no memory storage),not applicable (read-only offline scanner),goweft (open-source; no institutional affiliation),https://github.com/goweft/ratine,https://github.com/goweft/ratine,https://github.com/goweft/ratine,https://github.com/goweft/ratine
AgentOps,text,internal — undisclosed (SaaS observability),not applicable (observability layer; no memory storage),"AgentOps (Alex Reibman, co-founder; YC W24)",https://www.agentops.ai/,https://www.agentops.ai/,https://www.agentops.ai/,https://www.agentops.ai/
LangSmith,text,internal — undisclosed (SaaS observability),not applicable (observability/tracing; no memory storage),"LangChain Inc. (Harrison Chase, co-founder; ex-Robust Intelligence; Sequoia-backed)",https://www.langchain.com/langsmith,https://www.langchain.com/langsmith,https://www.langchain.com/langsmith,https://www.langchain.com/langsmith
Lakera Guard / Lakera Red,text,internal — undisclosed (SaaS; real-time screening),not applicable (security screening; no memory storage),"Lakera AI (David Haber, CEO; Zürich-based; Redpoint Ventures-backed)",https://www.lakera.ai/lakera-guard,https://www.lakera.ai/lakera-guard,https://www.lakera.ai/lakera-guard,https://www.lakera.ai/lakera-guard
OWASP Agent Memory Guard,text,not applicable (policy framework; no memory storage),not applicable (declarative YAML policy framework),OWASP Foundation (open-source; community-maintained),https://owasp.org/www-project-agent-memory-guard/,https://owasp.org/www-project-agent-memory-guard/,https://owasp.org/www-project-agent-memory-guard/,https://owasp.org/www-project-agent-memory-guard/
Microsoft Agent Governance Toolkit,text,internal — undisclosed (enterprise toolkit),LLM-arbitrate (CMVK majority-vote before memory-influenced action),Microsoft Research,https://github.com/microsoft/agent-governance-toolkit,https://github.com/microsoft/agent-governance-toolkit,https://github.com/microsoft/agent-governance-toolkit,https://github.com/microsoft/agent-governance-toolkit
Mem0 Security / OpenMemory,text,cloud-managed; no published per-user cap,LLM-arbitrate,Mem0 (YC S24; Taranjeet Singh & Deshraj Yadav),https://mem0.ai/security,https://mem0.ai/security,https://mem0.ai/security,https://mem0.ai/security
Enkrypt AI,text,internal — undisclosed (SaaS guardrails),not applicable (guardrail/security layer; no memory storage),"Enkrypt AI (Sahil Agarwal, CEO; ex-IBM Research; YC-backed)",https://www.enkryptai.com/platform/capabilities/ai-risk-removal,https://www.enkryptai.com/platform/capabilities/ai-risk-removal,https://www.enkryptai.com/platform/capabilities/ai-risk-removal,https://www.enkryptai.com/platform/capabilities/ai-risk-removal
Acuvity (now Proofpoint),text,internal — undisclosed (enterprise security),not applicable (runtime enforcement; no memory storage),Acuvity (acquired by Proofpoint 2025; enterprise AI security),https://acuvity.ai/ai-runtime-security/,https://acuvity.ai/ai-runtime-security/,https://acuvity.ai/ai-runtime-security/,https://acuvity.ai/ai-runtime-security/
HiddenLayer AISec Platform 2.0,text,internal — undisclosed (enterprise SaaS),not applicable (supply-chain/lineage; no memory storage),"HiddenLayer (Chris Sestito & Tanner Burns, co-founders; Austin TX; IVP-backed)",https://www.hiddenlayer.com/platform,https://www.hiddenlayer.com/platform,https://www.hiddenlayer.com/platform,https://www.hiddenlayer.com/platform
Zep — governance posture,text,no scale claim — bi-temporal KG (same backend as Zep/Graphiti),bi-temporal versioning,Zep AI (YC W24; Daniel Chalef),https://www.getzep.com/product/agent-memory/,https://www.getzep.com/product/agent-memory/,https://www.getzep.com/product/agent-memory/,https://www.getzep.com/product/agent-memory/
Externalization in LLM Agents,text,no scale claim — position/survey paper,not applicable (conceptual; no system implementation),no data — searched arxiv.org/abs/2604.08224; author affiliations not found in preview,https://arxiv.org/abs/2604.08224,https://arxiv.org/abs/2604.08224,https://arxiv.org/abs/2604.08224,https://arxiv.org/abs/2604.08224
Memory as Metabolism,text,no scale claim — position paper,not applicable (conceptual; no system implementation),no data — searched arxiv.org/abs/2604.12034; author affiliations not found in preview,https://arxiv.org/abs/2604.12034,https://arxiv.org/abs/2604.12034,https://arxiv.org/abs/2604.12034,https://arxiv.org/abs/2604.12034
RL-Based Continual Learning as Memory,text,no scale claim — blog/position post,not applicable (conceptual; no system implementation),Cameron Wolfe (independent researcher / Gradient Flow newsletter; ex-Rice University),https://cameronrwolfe.substack.com/p/rl-continual-learning,https://cameronrwolfe.substack.com/p/rl-continual-learning,https://cameronrwolfe.substack.com/p/rl-continual-learning,https://cameronrwolfe.substack.com/p/rl-continual-learning
JEPA Six-Module World Model (informal),text,no scale claim — informal position paper,not applicable (conceptual; no system implementation),Yann LeCun — Meta Chief AI Scientist; NYU; openreview.net/pdf?id=BZ5a1r-kVsf,https://openreview.net/pdf?id=BZ5a1r-kVsf,https://openreview.net/pdf?id=BZ5a1r-kVsf,https://openreview.net/pdf?id=BZ5a1r-kVsf,https://openreview.net/pdf?id=BZ5a1r-kVsf
