row_name,mcp_support,mcp_cite,a2a_support,a2a_cite,otel,otel_cite,webhooks_events,webhooks_cite,import_export,import_export_cite
Episodic Memory Is the Missing Piece,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
RAPTOR,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
GraphRAG (Microsoft),no data — searched not found,,not supported,,no data — searched not found,,no,,"Parquet, CSV, GraphML",https://github.com/microsoft/graphrag
LazyGraphRAG,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
HippoRAG / HippoRAG2,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
LightRAG,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
PathRAG,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
HyDE,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Adaptive-RAG,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
RouteRAG,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
RAFT,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
GraphRAFT,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Beyond RAG for Agent Memory,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Generative Semantic Workspace (GSW),"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
TC-RAG,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
KAG,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Speculative RAG,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
CRAG,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Self-RAG,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
FLARE,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
ITER-RETGEN,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
StructRAG,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
HiRAG,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
CAG (Cache-Augmented Generation),"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
LongRAG,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Multi-Head RAG (MHRAG),"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
BGE-M3,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
ChunkRAG,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
AutoRAG,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
WeKnow-RAG,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
REALM,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
RETRO,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Atlas,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
CLAUDE.md,not applicable — file-as-memory paradigm (no API surface),,not applicable — file-as-memory paradigm,,not applicable — file-as-memory paradigm,,not applicable — file-as-memory paradigm,,Markdown / plain text (the file itself is the export),
Cursor Rules,not applicable — file-as-memory paradigm (no API surface),,not applicable — file-as-memory paradigm,,not applicable — file-as-memory paradigm,,not applicable — file-as-memory paradigm,,Markdown / plain text (the file itself is the export),
Windsurf Rules & Memories,not applicable — file-as-memory paradigm (no API surface),,not applicable — file-as-memory paradigm,,not applicable — file-as-memory paradigm,,not applicable — file-as-memory paradigm,,Markdown / plain text (the file itself is the export),
AGENTS.md,not applicable — file-as-memory paradigm (no API surface),,not applicable — file-as-memory paradigm,,not applicable — file-as-memory paradigm,,not applicable — file-as-memory paradigm,,Markdown / plain text (the file itself is the export),
GitHub Copilot custom instructions,not applicable — file-as-memory paradigm (no API surface),,not applicable — file-as-memory paradigm,,not applicable — file-as-memory paradigm,,not applicable — file-as-memory paradigm,,Markdown / plain text (the file itself is the export),
Aider CONVENTIONS.md / .aider.conf.yml,not applicable — file-as-memory paradigm (no API surface),,not applicable — file-as-memory paradigm,,not applicable — file-as-memory paradigm,,not applicable — file-as-memory paradigm,,Markdown / plain text (the file itself is the export),
Cline .clinerules,not applicable — file-as-memory paradigm (no API surface),,not applicable — file-as-memory paradigm,,not applicable — file-as-memory paradigm,,not applicable — file-as-memory paradigm,,Markdown / plain text (the file itself is the export),
Cline Memory Bank,not applicable — file-as-memory paradigm (no API surface),,not applicable — file-as-memory paradigm,,not applicable — file-as-memory paradigm,,not applicable — file-as-memory paradigm,,Markdown / plain text (the file itself is the export),
Roo Code .roorules,not applicable — file-as-memory paradigm (no API surface),,not applicable — file-as-memory paradigm,,not applicable — file-as-memory paradigm,,not applicable — file-as-memory paradigm,,Markdown / plain text (the file itself is the export),
Continue.dev .continue/rules,not applicable — file-as-memory paradigm (no API surface),,not applicable — file-as-memory paradigm,,not applicable — file-as-memory paradigm,,not applicable — file-as-memory paradigm,,Markdown / plain text (the file itself is the export),
Zed .rules,not applicable — file-as-memory paradigm (no API surface),,not applicable — file-as-memory paradigm,,not applicable — file-as-memory paradigm,,not applicable — file-as-memory paradigm,,Markdown / plain text (the file itself is the export),
Replit replit.md,not applicable — file-as-memory paradigm (no API surface),,not applicable — file-as-memory paradigm,,not applicable — file-as-memory paradigm,,not applicable — file-as-memory paradigm,,Markdown / plain text (the file itself is the export),
Sourcegraph Cody — cody.json,not applicable — file-as-memory paradigm (no API surface),,not applicable — file-as-memory paradigm,,not applicable — file-as-memory paradigm,,not applicable — file-as-memory paradigm,,Markdown / plain text (the file itself is the export),
Claude Code auto-memory,native (first-party) — Claude Code consumes MCP,https://docs.claude.com/en/docs/claude-code/mcp,not supported,,no data — searched not found,,no,,Markdown — CLAUDE.md and project memory files,https://docs.claude.com/en/docs/claude-code/memory
Superpowers episodic-memory plugin,native (first-party) — provides MCP tools to Claude Code,https://github.com/superpowers-ai/episodic-memory,not supported,,no,,no,,JSON / SQLite,https://github.com/superpowers-ai/episodic-memory
claude-mem,native (first-party),,not supported,,no,,no,,Markdown / JSON,
Mem0 MCP (official),native (first-party),https://github.com/mem0ai/mem0-mcp,not supported,,no data — searched not found,,no,,JSON via REST,https://docs.mem0.ai/
Graphiti MCP Server (Zep),native (first-party),https://github.com/getzep/graphiti/tree/main/mcp_server,not supported,,no data — searched not found,,no,,JSON via REST; Neo4j backed,https://github.com/getzep/graphiti
mcp-memory-service (doobidoo),native (first-party),https://github.com/doobidoo/mcp-memory-service,not supported,,no,,no,,SQLite / JSON,https://github.com/doobidoo/mcp-memory-service
OpenMemory MCP,native (first-party),https://github.com/CaviraOSS/OpenMemory,not supported,,no,,no,,JSON local store,https://github.com/CaviraOSS/OpenMemory
Cognee MCP,native (first-party),https://github.com/topoteretes/cognee/tree/main/cognee-mcp,not supported,,no,,no,,JSON; pluggable backends,https://docs.cognee.ai/
Hindsight MCP,native (first-party),https://hindsight.vectorize.io/developer/mcp-server,not supported,,no,,no,,JSON via Vectorize REST,https://docs.vectorize.io/
Memobase MCP,native (first-party),https://github.com/memodb-io/memobase,not supported,,no,,no,,JSON via REST,https://docs.memobase.io/
claude-supermemory,native (first-party),https://github.com/supermemoryai/claude-supermemory,not supported,,no,,no,,JSON via Supermemory REST,https://docs.supermemory.ai/
mcp-memory (Puliczek),native (first-party),https://github.com/Puliczek/mcp-memory,not supported,,no,,no,,JSON local store,https://github.com/Puliczek/mcp-memory
local-memory-mcp,native (first-party),https://github.com/studiomeyer-io/local-memory-mcp,not supported,,no,,no,,JSON / SQLite local store,https://github.com/studiomeyer-io/local-memory-mcp
claude-brain,native (first-party),https://github.com/memvid/claude-brain,not supported,,no,,no,,MP4 video bundle (memvid format),https://github.com/memvid/memvid
engram,native (first-party),https://github.com/Gentleman-Programming/engram,not supported,,no,,no,,JSON local store,https://github.com/Gentleman-Programming/engram
mcp-knowledge-graph,native (first-party) — fork of official memory server,https://github.com/shaneholloman/mcp-knowledge-graph,not supported,,no,,no,,JSON Lines (entities + relations),https://github.com/shaneholloman/mcp-knowledge-graph
Claude-CursorMemoryMCP,native (first-party),https://github.com/Angleito/Claude-CursorMemoryMCP,not supported,,no,,no,,JSON local store,https://github.com/Angleito/Claude-CursorMemoryMCP
Official MCP Memory server,native (first-party) — reference implementation,https://github.com/modelcontextprotocol/servers/tree/main/src/memory,not supported,,no,,no,,JSON Lines (entities + relations),https://github.com/modelcontextprotocol/servers/tree/main/src/memory
Stardog,no data — searched not found,,no data — searched not found,,first-class — Prometheus + OTel,https://docs.stardog.com/operating-stardog/monitoring,no data — searched not found,,"RDF (Turtle/N-Triples), JSON-LD, CSV",https://docs.stardog.com/
TopQuadrant (TopBraid EDG),no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,"RDF, OWL, SHACL, SKOS",https://www.topquadrant.com/
Neo4j,via official adapter — neo4j-mcp,https://neo4j.com/blog/developer/model-context-protocol/,no data — searched not found,,first-class — Neo4j metrics + OTel,https://neo4j.com/docs/operations-manual/current/monitoring/,via APOC triggers / CDC,https://neo4j.com/docs/cdc/current/,"Cypher dump, CSV, JSON, Parquet, GraphML",https://neo4j.com/docs/operations-manual/current/backup-restore/
TigerGraph,no data — searched not found,,no data — searched not found,,first-class,https://docs.tigergraph.com/,no data — searched not found,,"CSV, JSON, GSQL backup",https://docs.tigergraph.com/
AllegroGraph (Franz),no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,"RDF (NTriples, Turtle, RDF/XML), JSON-LD",https://franz.com/agraph/support/documentation/
Ontotext GraphDB / Graphwise,no data — searched not found,,no data — searched not found,,first-class — Prometheus / OTel,https://graphdb.ontotext.com/documentation/,no data — searched not found,,"RDF (all standard serializations), JSON-LD",https://graphdb.ontotext.com/
PoolParty (now Graphwise),no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,"SKOS, RDF, JSON-LD",https://www.poolparty.biz/
Palantir Ontology,no data — searched not found,,no data — searched not found,,no data — searched not found,,webhooks supported (Foundry events),https://palantir.com/docs/foundry/,Foundry export (proprietary); SQL,https://palantir.com/docs/foundry/
Diffbot,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,JSON via Knowledge Graph API,https://docs.diffbot.com/
FalkorDB,via official adapter — FalkorDB MCP,https://github.com/FalkorDB/falkordb-mcp,no data — searched not found,,via Prometheus,https://docs.falkordb.com/,Redis pub/sub (event stream),https://docs.falkordb.com/,Cypher / RDB dump; CSV,https://docs.falkordb.com/
Memgraph,via official adapter — Memgraph MCP,https://memgraph.com/docs/ai-ecosystem/integrations,no data — searched not found,,first-class — Prometheus + OTel,https://memgraph.com/docs/database-management/monitoring,event stream — triggers + Kafka/Pulsar streams,https://memgraph.com/docs/data-streams,"Cypher dump, CSV, JSON",https://memgraph.com/docs/
Amazon Neptune Analytics,no data — searched not found,,no data — searched not found,,first-class — CloudWatch / OTel,https://docs.aws.amazon.com/neptune-analytics/,event stream — Neptune Streams + EventBridge,https://docs.aws.amazon.com/neptune/latest/userguide/streams.html,"RDF, openCypher CSV, Parquet (S3)",https://docs.aws.amazon.com/neptune-analytics/
Apache AGE,no data — searched not found,,not supported,,via Postgres OTel,https://age.apache.org/,Postgres LISTEN/NOTIFY,,SQL/Postgres dump; CSV,https://age.apache.org/
Kuzu,via community port,https://kuzudb.com/,not supported,,no data — searched not found,,no,,"Parquet, CSV, JSON, Cypher",https://kuzudb.com/docs/
ArangoDB,no data — searched not found,,no data — searched not found,,first-class,https://docs.arangodb.com/,no data — searched not found,,"JSON, JSONL, CSV, arangodump",https://docs.arangodb.com/
Dgraph,no data — searched not found,,no data — searched not found,,first-class — OpenCensus / OTel,https://dgraph.io/docs/,GraphQL subscriptions,https://dgraph.io/docs/,"RDF NQuads, JSON, GraphQL schema",https://dgraph.io/docs/
NebulaGraph,no data — searched not found,,no data — searched not found,,via Prometheus,https://docs.nebula-graph.io/,no data — searched not found,,"CSV, GraphML; nebula-dump",https://docs.nebula-graph.io/
Pinecone,via official adapter — Pinecone MCP server,https://docs.pinecone.io/guides/operations/mcp-server,no data — searched not found,,first-class — Prometheus + Datadog + OTel,https://docs.pinecone.io/guides/operations/monitoring,no data — searched not found,,Parquet bulk import/export; JSON via REST,https://docs.pinecone.io/guides/data/import-data
Weaviate,via official adapter — weaviate-mcp,https://weaviate.io/blog/model-context-protocol,no data — searched not found,,first-class — Prometheus + OTel,https://weaviate.io/developers/weaviate/configuration/monitoring,no data — searched not found,,JSON / Parquet via batch + REST; backup/restore,https://weaviate.io/developers/weaviate/configuration/backups
Qdrant,via official adapter — mcp-server-qdrant,https://github.com/qdrant/mcp-server-qdrant,no data — searched not found,,first-class — Prometheus + OTel,https://qdrant.tech/documentation/guides/monitoring/,no data — searched not found,,Snapshots; JSON via REST,https://qdrant.tech/documentation/concepts/snapshots/
Chroma,via official adapter — chroma-mcp,https://github.com/chroma-core/chroma-mcp,no data — searched not found,,via OpenTelemetry instrumentation,https://docs.trychroma.com/,no,,JSON via REST; SQLite backed,https://docs.trychroma.com/
Milvus,via official adapter — milvus-mcp,https://github.com/zilliztech/mcp-server-milvus,no data — searched not found,,first-class — Prometheus + OTel,https://milvus.io/docs/monitor.md,no data — searched not found,,"Parquet, JSON via bulk insert; backups",https://milvus.io/docs/migrate-overview.md
LanceDB,no data — searched not found,,no data — searched not found,,no data — searched not found,,no,,"Parquet (Lance format), Arrow, Pandas",https://lancedb.github.io/lancedb/
Turbopuffer,no data — searched not found,,no data — searched not found,,no data — searched not found,,no,,JSON via REST,https://turbopuffer.com/docs
Elasticsearch / OpenSearch,via official adapter — Elastic MCP server,https://www.elastic.co/blog/model-context-protocol,no data — searched not found,,first-class — native OTel,https://www.elastic.co/observability,webhook + alerting actions,https://www.elastic.co/guide/en/kibana/current/webhook-action-type.html,"JSON (bulk API), snapshots, CSV",https://www.elastic.co/guide/en/elasticsearch/reference/current/snapshot-restore.html
Vespa,no data — searched not found,,no data — searched not found,,first-class — Prometheus + OTel,https://docs.vespa.ai/,no data — searched not found,,"JSON, Vespa feed format",https://docs.vespa.ai/
Activeloop Deep Lake,no data — searched not found,,no data — searched not found,,no data — searched not found,,no,,"Deep Lake format, Parquet, NumPy, COCO",https://docs.activeloop.ai/
MongoDB Atlas Vector Search,via official adapter — MongoDB MCP server,https://www.mongodb.com/developer/products/atlas/atlas-mcp-server/,no data — searched not found,,first-class — Atlas + OTel,https://www.mongodb.com/docs/atlas/observability/,Atlas Triggers + Webhooks,https://www.mongodb.com/docs/atlas/triggers/,"BSON, JSON, mongodump/restore",https://www.mongodb.com/docs/database-tools/
pgvector,via Postgres MCP servers (community),https://github.com/modelcontextprotocol/servers/tree/main/src/postgres,not supported,,via Postgres OTel,https://opentelemetry.io/,Postgres LISTEN/NOTIFY,https://www.postgresql.org/docs/current/sql-notify.html,"SQL dump, CSV, COPY",https://github.com/pgvector/pgvector
Marqo,no data — searched not found,,no data — searched not found,,no data — searched not found,,no,,JSON via REST,https://docs.marqo.ai/
Snowflake Cortex Search,via official adapter — Snowflake MCP,https://www.snowflake.com/blog/snowflake-mcp-server/,no data — searched not found,,first-class — Snowflake event tables + OTel,https://docs.snowflake.com/en/developer-guide/logging-tracing/logging-tracing-overview,Snowpipe + tasks + webhooks,https://docs.snowflake.com/,"Parquet, CSV, JSON, Snowflake unload",https://docs.snowflake.com/
Databricks Vector Search,via official adapter — Databricks MCP,https://docs.databricks.com/en/generative-ai/mcp/,no data — searched not found,,first-class — Unity Catalog + OTel,https://docs.databricks.com/,webhooks + Lakeflow events,https://docs.databricks.com/,Delta Lake / Parquet / CSV / JSON,https://docs.databricks.com/
Glean,native (first-party) — Glean MCP server,https://www.glean.com/blog/glean-mcp-server,no data — searched not found,,no data — searched not found,,webhooks supported (developer API),https://developers.glean.com/,JSON via API; proprietary index,https://developers.glean.com/
SearchUnify,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Clarivate,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Coveo,no data — searched not found,,no data — searched not found,,no data — searched not found,,webhooks supported,https://docs.coveo.com/,JSON via Push API; proprietary index,https://docs.coveo.com/
Sinequa,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Mindbreeze InSpire,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Meilisearch,via community port,https://github.com/meilisearch/meilisearch-mcp,not supported,,no data — searched not found,,task webhooks,https://www.meilisearch.com/docs,JSON / NDJSON / CSV; snapshot files,https://www.meilisearch.com/docs
Algolia (NeuralSearch),via official adapter — Algolia MCP,https://www.algolia.com/blog/engineering/algolia-mcp-server/,no data — searched not found,,no data — searched not found,,webhooks supported,https://www.algolia.com/doc/,JSON via REST,https://www.algolia.com/doc/
FutureHouse,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Causaly,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
BenevolentAI,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
LabGenius,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Elicit,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Scite.ai,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Iris.ai,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
ResearchRabbit,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Hippocratic AI Polaris,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
K Health,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Nabla + Navina,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Suki AI,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
DeepScribe,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Abridge,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
OpenEvidence (DeepConsult + Visits),no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Heidi Health,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Harvey Memory,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,proprietary only (enterprise),https://www.harvey.ai/
Luminance Institutional Memory,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Filevine LOIS,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Eve — Shared Firm Knowledge + Auditor,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Spellbook Library,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Clio Duo / Manage AI,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
CoCounsel Legal (Thomson Reuters),no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Hebbia Matrix,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Sierra,no data — searched not found,,no data — searched not found,,no data — searched not found,,webhooks supported,https://sierra.ai/,proprietary only (enterprise),https://sierra.ai/
Decagon,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Cognigy,via official adapter — Cognigy MCP,https://docs.cognigy.com/ai/integrations/,no data — searched not found,,first-class,https://docs.cognigy.com/,webhooks supported,https://docs.cognigy.com/,JSON snapshot export,https://docs.cognigy.com/
ASAPP GenerativeAgent,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Cresta,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
PolyAI,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Intercom Fin,no data — searched not found,,no data — searched not found,,no data — searched not found,,webhooks supported,https://developers.intercom.com/,JSON via REST,https://developers.intercom.com/
Replicant,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
LivePerson Conversation Context Service,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Salesforce Agentforce / Einstein,via official adapter — Salesforce MCP,https://developer.salesforce.com/blogs/mcp-server,no data — searched not found,,first-class — Hyperforce + Datadog + OTel,https://developer.salesforce.com/,Platform Events + Webhooks,https://developer.salesforce.com/docs/platform/pub-sub-api/overview,"CSV, JSON, SOQL exports; Data Cloud",https://developer.salesforce.com/
Inworld AI,no data — searched not found,,no data — searched not found,,no data — searched not found,,webhooks supported,https://docs.inworld.ai/,JSON via Studio API,https://docs.inworld.ai/
Convai (Mimir),no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Charisma.ai,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Latitude / Voyage,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Character.ai,no data — searched not found,,not supported,,no — consumer product,,no,,Manual character JSON export,https://character.ai/
Replika,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Nomi AI,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Soul Machines,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Spirit AI Character Engine,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Figure Helix,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
π0.5 (Physical Intelligence),no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
NVIDIA Isaac GR00T N1.7,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
NVIDIA ReMEmbR,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
MemoryVLA,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
SG-Nav,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Meta-Memory,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
GWM (Gaussian World Models),"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Wayve GAIA-2 / GAIA-3,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Tesla FSD V13 — Occupancy + 4D World,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Sanctuary AI Carbon (Phoenix Gen 7/8),no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Skild Brain,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
ELSA Speak,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Duolingo Max,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Quizlet — AI Study Tools / Magic Notes,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
MagicSchool,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Khanmigo,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
SchoolAI,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
