row_name,consistency_model,consistency_cite,versioning,versioning_cite,tombstoning,tombstoning_cite,schema_evolution,schema_evolution_cite,namespace,namespace_cite,contradiction,contradiction_cite,forgetting,forgetting_cite
Memary,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,hard-delete supported,inferred from primary tags (storage/update/governance),schema with migration,inferred from primary tags (storage/update/governance),per-tenant,inferred from primary tags (storage/update/governance),LLM resolves and overwrites,inferred from primary tags (storage/update/governance),user-controlled forget,inferred from primary tags (storage/update/governance)
Memento,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,LLM resolves and overwrites,https://arxiv.org/abs/2508.16153,not specified - paper does not address this dimension,taxonomy/tags.json
Memformer,strong,inferred from primary tags (storage/update/governance),snapshots,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,schema locked,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),N/A,no data,consolidation/summarization,taxonomy/tags.json
Memformers (gradient memory),N/A,inferred from primary tags (storage/update/governance),snapshots,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,schema locked,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),N/A,no data,TTL-based,inferred from primary tags (storage/update/governance)
Memgraph,not specified - vendor docs do not address this dimension,taxonomy/tags.json,immutable append-log,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),per-tenant,inferred from primary tags (storage/update/governance),always overwrite (last-write-wins),https://memgraph.com/,none (permanent),inferred from primary tags (storage/update/governance)
MemoBrain,not specified - paper does not address this dimension,taxonomy/tags.json,snapshots,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,free-form / no schema,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,LLM resolves and overwrites,https://arxiv.org/abs/2601.08079,consolidation/summarization,taxonomy/tags.json
MemoChat,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,free-form / no schema,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,LLM resolves and overwrites,https://arxiv.org/abs/2308.08239,not specified - paper does not address this dimension,taxonomy/tags.json
MemoRAG,not specified - paper does not address this dimension,taxonomy/tags.json,none,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),schema with migration,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,N/A,https://github.com/qhjqhj00/MemoRAG,N/A,inferred from primary tags (storage/update/governance)
Memobase,not specified - vendor docs do not address this dimension,taxonomy/tags.json,immutable append-log,taxonomy/tags.json,append-only no delete,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),per-user,inferred from primary tags (storage/update/governance),LLM resolves and overwrites,inferred from primary tags (storage/update/governance),none (permanent),inferred from primary tags (storage/update/governance)
Memobase MCP,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),per-user,inferred from primary tags (storage/update/governance),LLM resolves and overwrites,https://github.com/memodb-io/memobase,not specified - vendor docs do not address this dimension,taxonomy/tags.json
Memolet,not specified - paper does not address this dimension,taxonomy/tags.json,immutable append-log,taxonomy/tags.json,append-only no delete,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,always overwrite (last-write-wins),https://doi.org/10.1145/3654777.3676388,none (permanent),inferred from primary tags (storage/update/governance)
MemoraX AI,N/A,inferred from primary tags (storage/update/governance),snapshots,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),schema locked,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),LLM resolves and overwrites,inferred from primary tags (storage/update/governance),not specified - vendor docs do not address this dimension,taxonomy/tags.json
Memori,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),per-tenant,inferred from primary tags (storage/update/governance),LLM resolves and overwrites,inferred from primary tags (storage/update/governance),not specified - vendor docs do not address this dimension,taxonomy/tags.json
Memoria (MatrixOrigin),not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json
Memoria (cognitive),not specified - paper does not address this dimension,taxonomy/tags.json,snapshots,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,LLM resolves and overwrites,https://arxiv.org/abs/2310.03052,consolidation/summarization,taxonomy/tags.json
Memorizing Transformers,strong,inferred from primary tags (storage/update/governance),immutable append-log,taxonomy/tags.json,append-only no delete,taxonomy/tags.json,schema locked,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),always append (no resolution),inferred from primary tags (storage/update/governance),LRU eviction,inferred from primary tags (storage/update/governance)
Memoro,not specified - paper does not address this dimension,taxonomy/tags.json,none,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),schema with migration,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,N/A,https://doi.org/10.1145/3613904.3642450,N/A,inferred from primary tags (storage/update/governance)
Memory Decoder,N/A,inferred from primary tags (storage/update/governance),none,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),schema locked,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),N/A,https://arxiv.org/abs/2508.09874,N/A,inferred from primary tags (storage/update/governance)
Memory Layers at Scale,N/A,inferred from primary tags (storage/update/governance),snapshots,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,schema locked,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),N/A,https://arxiv.org/abs/2412.09764,not specified - paper does not address this dimension,taxonomy/tags.json
Memory Poisoning as Attack Surface,"not applicable - theoretical concept, no implementation",taxonomy/tags.json,"not applicable - theoretical concept, no implementation",taxonomy/tags.json,"not applicable - theoretical concept, no implementation",taxonomy/tags.json,"not applicable - theoretical concept, no implementation",taxonomy/tags.json,"not applicable - theoretical concept, no implementation",taxonomy/tags.json,"not applicable - theoretical concept, no implementation",taxonomy/tags.json,"not applicable - theoretical concept, no implementation",taxonomy/tags.json
Memory Store,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),per-tenant,inferred from primary tags (storage/update/governance),LLM resolves and overwrites,inferred from primary tags (storage/update/governance),not specified - vendor docs do not address this dimension,taxonomy/tags.json
Memory as Action,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,LLM resolves and overwrites,https://arxiv.org/abs/2510.12635,not specified - paper does not address this dimension,taxonomy/tags.json
Memory as Metabolism,"not applicable - theoretical concept, no implementation",taxonomy/tags.json,"not applicable - theoretical concept, no implementation",taxonomy/tags.json,"not applicable - theoretical concept, no implementation",taxonomy/tags.json,"not applicable - theoretical concept, no implementation",taxonomy/tags.json,"not applicable - theoretical concept, no implementation",taxonomy/tags.json,"not applicable - theoretical concept, no implementation",taxonomy/tags.json,"not applicable - theoretical concept, no implementation",taxonomy/tags.json
MemoryAgentBench,N/A,inferred from primary tags (storage/update/governance),none,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,N/A,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance)
MemoryArena,N/A,inferred from primary tags (storage/update/governance),none,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,N/A,inferred from primary tags (storage/update/governance),N/A,https://arxiv.org/abs/2602.16313,N/A,inferred from primary tags (storage/update/governance)
MemoryBank,not specified - paper does not address this dimension,taxonomy/tags.json,snapshots,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,LLM resolves and overwrites,inferred from primary tags (storage/update/governance),consolidation/summarization,taxonomy/tags.json
MemoryBench (Tsinghua THUIR),not specified - paper does not address this dimension,taxonomy/tags.json,none,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,N/A,https://arxiv.org/abs/2510.17281,N/A,inferred from primary tags (storage/update/governance)
MemoryBench (Tsinghua THUIR) (bench),N/A,inferred from primary tags (storage/update/governance),none,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,N/A,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance)
MemoryLLM (original),N/A,inferred from primary tags (storage/update/governance),snapshots,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),schema locked,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),N/A,https://arxiv.org/abs/2402.04624,not specified - vendor docs do not address this dimension,taxonomy/tags.json
MemoryVLA,not specified - paper does not address this dimension,taxonomy/tags.json,snapshots,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,always append (no resolution),https://arxiv.org/abs/2508.19236,consolidation/summarization,taxonomy/tags.json
Memory³,N/A,inferred from primary tags (storage/update/governance),snapshots,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,schema locked,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),N/A,https://arxiv.org/abs/2407.01178,not specified - paper does not address this dimension,taxonomy/tags.json
Memp,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,LLM resolves and overwrites,https://arxiv.org/abs/2508.06433,not specified - paper does not address this dimension,taxonomy/tags.json
Memvid,strong,https://github.com/Olow304/memvid,immutable append-log,https://github.com/Olow304/memvid,append-only no delete,https://github.com/Olow304/memvid,schema locked,https://github.com/Olow304/memvid,per-project,https://github.com/Olow304/memvid,always append (no resolution),https://github.com/Olow304/memvid,none (permanent),https://github.com/Olow304/memvid
Meta AI Memory,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,hard-delete supported,inferred from primary tags (storage/update/governance),free-form / no schema,inferred from primary tags (storage/update/governance),not specified - vendor docs do not address this dimension,taxonomy/tags.json,LLM resolves and overwrites,https://www.meta.com/help/artificial-intelligence/948583263661526/,user-controlled forget,inferred from primary tags (storage/update/governance)
Meta-Memory,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,always append (no resolution),https://arxiv.org/abs/2509.20754,not specified - paper does not address this dimension,taxonomy/tags.json
MetaGPT,not specified - vendor docs do not address this dimension,taxonomy/tags.json,snapshots,inferred from primary tags (storage/update/governance),not specified - vendor docs do not address this dimension,taxonomy/tags.json,free-form / no schema,inferred from primary tags (storage/update/governance),hierarchical,inferred from primary tags (storage/update/governance),LLM resolves and overwrites,https://arxiv.org/abs/2308.00352,not specified - vendor docs do not address this dimension,taxonomy/tags.json
Microsoft Agent Governance Toolkit,not specified - vendor docs do not address this dimension,taxonomy/tags.json,none,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,LLM resolves and overwrites,https://github.com/microsoft/agent-governance-toolkit,N/A,inferred from primary tags (storage/update/governance)
Microsoft Copilot Memory,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,soft-delete only,inferred from primary tags (storage/update/governance),schema with migration,inferred from primary tags (storage/update/governance),not specified - vendor docs do not address this dimension,taxonomy/tags.json,always overwrite (last-write-wins),https://learn.microsoft.com/en-us/copilot/microsoft-365/copilot-personalization-memory,not specified - vendor docs do not address this dimension,taxonomy/tags.json
Microsoft Edge Copilot Mode + Journeys,not specified - vendor docs do not address this dimension,taxonomy/tags.json,immutable append-log,taxonomy/tags.json,append-only no delete,taxonomy/tags.json,free-form / no schema,inferred from primary tags (storage/update/governance),hierarchical,inferred from primary tags (storage/update/governance),LLM resolves and overwrites,inferred from primary tags (storage/update/governance),consolidation/summarization,taxonomy/tags.json
Microsoft Recall,eventual,https://learn.microsoft.com/en-us/windows/ai/recall/,immutable append-log,https://learn.microsoft.com/en-us/windows/ai/recall/,GDPR right-to-erasure,https://learn.microsoft.com/en-us/windows/ai/recall/manage,schema locked,https://learn.microsoft.com/en-us/windows/ai/recall/,per-user,https://learn.microsoft.com/en-us/windows/ai/recall/,always append (no resolution),https://learn.microsoft.com/en-us/windows/ai/recall/,user-controlled forget,https://learn.microsoft.com/en-us/windows/ai/recall/manage
Milvus,eventual,https://milvus.io/docs/consistency.md,none,https://milvus.io/docs,soft-delete only,https://milvus.io/docs/delete_data.md,schema with migration,https://milvus.io/docs/manage_collection.md,per-tenant,https://milvus.io/docs/multi_tenancy.md,always overwrite (last-write-wins),https://milvus.io/docs/upsert_entities.md,user-controlled forget,https://milvus.io/docs/delete_data.md
Mindbreeze InSpire,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,soft-delete only,inferred from primary tags (storage/update/governance),schema with migration,inferred from primary tags (storage/update/governance),per-tenant,inferred from primary tags (storage/update/governance),N/A,https://www.mindbreeze.com,not specified - vendor docs do not address this dimension,taxonomy/tags.json
Mistral Agents API,not specified - vendor docs do not address this dimension,taxonomy/tags.json,immutable append-log,taxonomy/tags.json,append-only no delete,taxonomy/tags.json,free-form / no schema,inferred from primary tags (storage/update/governance),not specified - vendor docs do not address this dimension,taxonomy/tags.json,always append (no resolution),inferred from primary tags (storage/update/governance),none (permanent),inferred from primary tags (storage/update/governance)
Mistral Le Chat — Memories,not specified - vendor docs do not address this dimension,taxonomy/tags.json,snapshots,inferred from primary tags (storage/update/governance),hard-delete supported,inferred from primary tags (storage/update/governance),schema with migration,inferred from primary tags (storage/update/governance),per-tenant,inferred from primary tags (storage/update/governance),LLM resolves and overwrites,https://help.mistral.ai/en/articles/396497-how-do-you-handle-my-data-when-using-the-memories-feature,consolidation/summarization,taxonomy/tags.json
MoT (Memory-of-Thought),not specified - paper does not address this dimension,taxonomy/tags.json,immutable append-log,taxonomy/tags.json,append-only no delete,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,always append (no resolution),inferred from primary tags (storage/update/governance),none (permanent),inferred from primary tags (storage/update/governance)
MongoDB Atlas Vector Search,eventual,https://www.mongodb.com/docs/atlas/atlas-vector-search/,snapshots,https://www.mongodb.com/docs/atlas/backup/cloud-backup/overview/,hard-delete supported,https://www.mongodb.com/docs/manual/reference/method/db.collection.deleteOne/,free-form / no schema,https://www.mongodb.com/docs/atlas/atlas-vector-search/,per-tenant,https://www.mongodb.com/docs/atlas/atlas-vector-search/,always overwrite (last-write-wins),https://www.mongodb.com/docs/manual/reference/method/db.collection.update/,TTL-based,https://www.mongodb.com/docs/manual/core/index-ttl/
Multi-Head RAG (MHRAG),not specified - paper does not address this dimension,taxonomy/tags.json,none,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),schema with migration,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,N/A,https://arxiv.org/abs/2406.05085,N/A,inferred from primary tags (storage/update/governance)
Mymind,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,hard-delete supported,inferred from primary tags (storage/update/governance),schema with migration,inferred from primary tags (storage/update/governance),per-tenant,inferred from primary tags (storage/update/governance),LLM resolves and overwrites,inferred from primary tags (storage/update/governance),user-controlled forget,inferred from primary tags (storage/update/governance)
NAMMs,strong,inferred from primary tags (storage/update/governance),none,inferred from primary tags (storage/update/governance),hard-delete supported,inferred from primary tags (storage/update/governance),schema locked,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),N/A,https://arxiv.org/abs/2410.13166,LRU eviction,taxonomy/tags.json
NAVER HyperCLOVA X THINK,strong,inferred from primary tags (storage/update/governance),none,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),schema locked,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),LRU eviction,inferred from primary tags (storage/update/governance)
NAVER Provence + PISCO,strong,inferred from primary tags (storage/update/governance),none,inferred from primary tags (storage/update/governance),hard-delete supported,inferred from primary tags (storage/update/governance),schema locked,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),LRU eviction,taxonomy/tags.json
NIAH (Needle in a Haystack),N/A,inferred from primary tags (storage/update/governance),none,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,N/A,inferred from primary tags (storage/update/governance),N/A,https://github.com/gkamradt/LLMTest_NeedleInAHaystack,N/A,inferred from primary tags (storage/update/governance)
NL2GenSym,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,free-form / no schema,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,LLM resolves and overwrites,https://arxiv.org/abs/2510.09355,not specified - paper does not address this dimension,taxonomy/tags.json
NVIDIA Isaac GR00T N1.7,strong,inferred from primary tags (storage/update/governance),none,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),schema locked,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),N/A,https://arxiv.org/abs/2503.14734,LRU eviction,inferred from primary tags (storage/update/governance)
NVIDIA Nemotron 3,strong,inferred from primary tags (storage/update/governance),none,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),schema locked,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),N/A,https://arxiv.org/abs/2512.20856,LRU eviction,inferred from primary tags (storage/update/governance)
NVIDIA ReMEmbR,not specified - paper does not address this dimension,taxonomy/tags.json,immutable append-log,taxonomy/tags.json,append-only no delete,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,always append (no resolution),https://arxiv.org/abs/2409.13682,none (permanent),inferred from primary tags (storage/update/governance)
Nabla + Navina,not specified - vendor docs do not address this dimension,taxonomy/tags.json,snapshots,inferred from primary tags (storage/update/governance),soft-delete only,inferred from primary tags (storage/update/governance),schema with migration,inferred from primary tags (storage/update/governance),per-tenant,inferred from primary tags (storage/update/governance),LLM resolves and overwrites,https://www.nabla.com/,consolidation/summarization,taxonomy/tags.json
NebulaGraph,not specified - vendor docs do not address this dimension,taxonomy/tags.json,immutable append-log,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),per-tenant,inferred from primary tags (storage/update/governance),always overwrite (last-write-wins),https://nebula-graph.io,none (permanent),inferred from primary tags (storage/update/governance)
Nemori,not specified - paper does not address this dimension,taxonomy/tags.json,snapshots,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,LLM resolves and overwrites,https://arxiv.org/abs/2508.03341,consolidation/summarization,taxonomy/tags.json
Neo4j,strong,https://neo4j.com/docs/operations-manual/current/clustering/,snapshots,https://neo4j.com/docs/operations-manual/current/backup-restore/,hard-delete supported,https://neo4j.com/docs/cypher-manual/current/clauses/delete/,schema with migration,https://neo4j.com/docs/cypher-manual/current/constraints/,per-tenant,https://neo4j.com/docs/operations-manual/current/database-administration/,always overwrite (last-write-wins),https://neo4j.com/docs/cypher-manual/current/clauses/set/,user-controlled forget,https://neo4j.com/docs/cypher-manual/current/clauses/delete/
NeoCognition,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,LLM resolves and overwrites,inferred from primary tags (storage/update/governance),not specified - vendor docs do not address this dimension,taxonomy/tags.json
Neural Episodic Control,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,free-form / no schema,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,always overwrite (last-write-wins),inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json
Nomi AI,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),per-user,inferred from primary tags (storage/update/governance),always append (no resolution),https://nomi.ai,not specified - vendor docs do not address this dimension,taxonomy/tags.json
Notion AI,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,hard-delete supported,inferred from primary tags (storage/update/governance),schema with migration,inferred from primary tags (storage/update/governance),per-tenant,inferred from primary tags (storage/update/governance),N/A,https://www.notion.com/product/ai,user-controlled forget,inferred from primary tags (storage/update/governance)
Nyne,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),per-user,inferred from primary tags (storage/update/governance),LLM resolves and overwrites,inferred from primary tags (storage/update/governance),not specified - vendor docs do not address this dimension,taxonomy/tags.json
O-Mem,not specified - vendor docs do not address this dimension,taxonomy/tags.json,snapshots,inferred from primary tags (storage/update/governance),not specified - vendor docs do not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),per-user,inferred from primary tags (storage/update/governance),LLM resolves and overwrites,https://arxiv.org/abs/2511.13593,consolidation/summarization,taxonomy/tags.json
OASIS,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,per-user,inferred from primary tags (storage/update/governance),LLM resolves and overwrites,inferred from primary tags (storage/update/governance),TTL-based,inferred from primary tags (storage/update/governance)
OMEGA,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json
OWASP Agent Memory Guard,strong,inferred from primary tags (storage/update/governance),none,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),free-form / no schema,inferred from primary tags (storage/update/governance),hierarchical,inferred from primary tags (storage/update/governance),N/A,https://owasp.org/www-project-agent-memory-guard/,N/A,inferred from primary tags (storage/update/governance)
Obsidian Smart Connections,not specified - vendor docs do not address this dimension,taxonomy/tags.json,snapshots,inferred from primary tags (storage/update/governance),hard-delete supported,inferred from primary tags (storage/update/governance),free-form / no schema,inferred from primary tags (storage/update/governance),hierarchical,inferred from primary tags (storage/update/governance),always overwrite (last-write-wins),https://github.com/brianpetro/obsidian-smart-connections,user-controlled forget,inferred from primary tags (storage/update/governance)
Official MCP Memory server,not specified - vendor docs do not address this dimension,taxonomy/tags.json,immutable append-log,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),per-tenant,inferred from primary tags (storage/update/governance),LLM resolves and overwrites,https://github.com/modelcontextprotocol/servers/tree/main/src/memory,none (permanent),inferred from primary tags (storage/update/governance)
Omi,not specified - vendor docs do not address this dimension,taxonomy/tags.json,immutable append-log,taxonomy/tags.json,append-only no delete,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),per-user,inferred from primary tags (storage/update/governance),always append (no resolution),https://www.omi.me,consolidation/summarization,taxonomy/tags.json
Ontotext GraphDB / Graphwise,not specified - vendor docs do not address this dimension,taxonomy/tags.json,immutable append-log,taxonomy/tags.json,soft-delete only,inferred from primary tags (storage/update/governance),schema with migration,inferred from primary tags (storage/update/governance),per-tenant,inferred from primary tags (storage/update/governance),always overwrite (last-write-wins),https://graphwise.ai/,none (permanent),inferred from primary tags (storage/update/governance)
OpenAI Agents SDK Memory,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,per-tenant,inferred from primary tags (storage/update/governance),always overwrite (last-write-wins),https://openai.github.io/openai-agents-python/ref/memory/,not specified - vendor docs do not address this dimension,taxonomy/tags.json
OpenAI ChatGPT Memory,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,hard-delete supported,inferred from primary tags (storage/update/governance),free-form / no schema,inferred from primary tags (storage/update/governance),not specified - vendor docs do not address this dimension,taxonomy/tags.json,LLM resolves and overwrites,https://openai.com/index/memory-and-new-controls-for-chatgpt/,user-controlled forget,inferred from primary tags (storage/update/governance)
OpenAI Codex (cloud agent),strong,inferred from primary tags (storage/update/governance),immutable append-log,taxonomy/tags.json,append-only no delete,taxonomy/tags.json,free-form / no schema,inferred from primary tags (storage/update/governance),hierarchical,inferred from primary tags (storage/update/governance),LLM resolves and overwrites,inferred from primary tags (storage/update/governance),consolidation/summarization,taxonomy/tags.json
